*** New Session***
03-11-2021 10:04:57
Product Name: forerunner
232537328 : Rx: [89][FD][FF][FF][3D][E2][94][30]
232537578 : Rx: [89][FD][FF][FF][3D][E7][95][30]
232537828 : Rx fail
232538078 : Rx: [00][FF][FF][FF][3D][E7][95][2F]
232538328 : Rx: [00][FF][FF][FF][3D][E7][95][2F]
232538562 : Rx: [00][FF][FF][FF][3D][E7][95][2F]
232538812 : Rx: [00][FF][FF][FF][3D][E7][95][2F]
232539062 : Rx: [80][FF][FF][FF][58][EC][96][2F]
232539312 : Rx: [80][FF][FF][FF][58][EC][96][2F]
232539546 : Rx: [80][FF][FF][FF][58][EC][96][2F]
232539796 : Rx: [80][FF][FF][FF][58][EC][96][2F]
232540046 : Rx: [00][FF][FF][FF][58][EC][96][2F]
232540296 : Rx: [00][FF][FF][FF][73][F1][97][2F]
232540531 : Rx: [00][FF][FF][FF][73][F1][97][2F]
232540781 : Rx: [00][FF][FF][FF][73][F1][97][2F]
232541031 : Rx: [80][FF][FF][FF][73][F1][97][2F]
232541281 : Rx: [80][FF][FF][FF][73][F1][97][2F]
232541515 : Rx: [80][FF][FF][FF][8E][F6][98][2F]
232541765 : Rx: [80][FF][FF][FF][8E][F6][98][2F]
232542015 : Rx: [00][FF][FF][FF][8E][F6][98][2F]
232542265 : Rx: [00][FF][FF][FF][8E][F6][98][2F]
232542500 : Rx: [00][FF][FF][FF][8E][F6][98][2F]
232542750 : Rx: [00][FF][FF][FF][A9][FB][99][2F]
232543000 : Rx: [80][FF][FF][FF][A9][FB][99][2F]
232543250 : Rx: [80][FF][FF][FF][A9][FB][99][2F]
232543484 : Rx: [80][FF][FF][FF][A9][FB][99][2F]
232543734 : Rx: [80][FF][FF][FF][A9][FB][99][2F]
232543984 : Rx: [00][FF][FF][FF][C4][00][9A][2F]
232544234 : Rx: [00][FF][FF][FF][C4][00][9A][2F]
232544484 : Rx: [00][FF][FF][FF][C4][00][9A][2F]
232544718 : Rx: [00][FF][FF][FF][C4][00][9A][2F]
232544968 : Rx: [80][FF][FF][FF][C4][00][9A][2F]
232545218 : Rx: [80][FF][FF][FF][DF][05][9B][2F]
232545453 : Rx: [80][FF][FF][FF][DF][05][9B][2F]
232545703 : Rx: [80][FF][FF][FF][DF][05][9B][30]
232545953 : Rx: [00][FF][FF][FF][DF][05][9B][30]
232546203 : Rx: [00][FF][FF][FF][DF][05][9B][30]
232546453 : Rx: [00][FF][FF][FF][DF][05][9B][30]
232546687 : Rx: [00][FF][FF][FF][DF][0A][9C][30]
232546937 : Rx: [80][FF][FF][FF][DF][0A][9C][30]
232547187 : Rx: [80][FF][FF][FF][DF][0A][9C][30]
232547437 : Rx: [80][FF][FF][FF][DF][0A][9C][30]
232547671 : Rx: [80][FF][FF][FF][DF][0A][9C][31]
232547921 : Rx: [00][FF][FF][FF][C4][0F][9D][31]
232548171 : Rx: [00][FF][FF][FF][C4][0F][9D][31]
232548421 : Rx: [00][FF][FF][FF][C4][0F][9D][31]
232548671 : Rx: [00][FF][FF][FF][C4][0F][9D][31]
232548906 : Rx: [80][FF][FF][FF][90][14][9E][32]
232549156 : Rx: [80][FF][FF][FF][90][14][9E][32]
232549406 : Rx: [80][FF][FF][FF][90][14][9E][32]
232549656 : Rx: [80][FF][FF][FF][90][14][9E][32]
232549890 : Rx: [00][FF][FF][FF][90][14][9E][32]
232550140 : Rx: [00][FF][FF][FF][5C][19][9F][32]
232550390 : Rx: [00][FF][FF][FF][5C][19][9F][32]
232550640 : Rx: [00][FF][FF][FF][5C][19][9F][32]
232550875 : Rx: [80][FF][FF][FF][5C][19][9F][32]
232551125 : Rx: [80][FF][FF][FF][5C][19][9F][32]
232551375 : Rx: [80][FF][FF][FF][28][1E][A0][32]
232551625 : Rx: [80][FF][FF][FF][28][1E][A0][32]
232551859 : Rx: [00][FF][FF][FF][28][1E][A0][32]
232552109 : Rx: [00][FF][FF][FF][28][1E][A0][32]
232552359 : Rx: [00][FF][FF][FF][28][1E][A0][32]
232552609 : Rx: [00][FF][FF][FF][F4][22][A1][32]
232552843 : Rx: [80][FF][FF][FF][F4][22][A1][32]
232553093 : Rx: [80][FF][FF][FF][F4][22][A1][32]
232553343 : Rx fail
232553593 : Rx: [80][FF][FF][FF][F4][22][A1][32]
232553828 : Rx fail
232554078 : Rx fail
232554328 : Rx: [02][01][94][C8][C0][27][A2][32]
232554578 : Rx: [02][01][94][C8][C0][27][A2][32]
232554812 : Rx: [80][FF][FF][FF][C0][27][A2][32]
232555062 : Rx: [80][FF][FF][FF][8C][2C][A3][32]
232555312 : Rx: [80][FF][FF][FF][8C][2C][A3][32]
232555562 : Rx fail
232555812 : Rx fail
232556046 : Rx: [00][FF][FF][FF][8C][2C][A3][32]
232556296 : Rx fail
232556546 : Rx fail
232556796 : Rx: [80][FF][FF][FF][58][31][A4][32]
232557031 : Rx: [80][FF][FF][FF][58][31][A4][32]
232557281 : Rx: [80][FF][FF][FF][24][36][A5][32]
232557531 : Rx: [80][FF][FF][FF][24][36][A5][32]
232557781 : Rx: [00][FF][FF][FF][24][36][A5][32]
232558015 : Rx: [00][FF][FF][FF][24][36][A5][32]
232558265 : Rx: [00][FF][FF][FF][24][36][A5][32]
232558515 : Rx: [00][FF][FF][FF][F0][3A][A6][32]
232558765 : Rx: [80][FF][FF][FF][F0][3A][A6][32]
