*** New Session***
02-11-2021 17:02:10
Product Name: HRM-pro
171170109 : Rx: [84][00][FD][80][59][83][F8][66]
171170359 : Rx: [84][00][FD][80][59][83][F8][66]
171170609 : Rx: [84][00][59][83][AF][84][F9][66]
171170843 : Rx: [04][00][AF][84][2A][87][FA][66]
171171093 : Rx fail
171171343 : Rx: [04][00][2A][87][C0][89][FB][66]
171171593 : Rx: [04][00][2A][87][C0][89][FB][66]
171171828 : Rx fail
171172078 : Rx: [84][00][C0][89][7B][8C][FC][66]
171172328 : Rx: [84][00][C0][89][7B][8C][FC][66]
171172578 : Rx: [F9][42][08][08][7B][8C][FC][66]
171172812 : Rx: [04][00][7B][8C][59][8F][FD][66]
171173062 : Rx: [04][00][7B][8C][59][8F][FD][66]
171173312 : Rx: [04][00][7B][8C][59][8F][FD][66]
171173562 : Rx fail
171173796 : Rx: [84][00][59][8F][09][92][FE][66]
171174046 : Rx: [84][00][59][8F][09][92][FE][66]
171174296 : Rx: [84][00][09][92][88][94][FF][66]
171174546 : Rx: [84][00][09][92][88][94][FF][66]
171174781 : Rx: [04][00][88][94][41][97][00][66]
171175031 : Rx: [04][00][88][94][41][97][00][66]
171175281 : Rx: [04][00][88][94][41][97][00][66]
171175531 : Rx: [04][00][41][97][23][9A][01][66]
171175781 : Rx: [84][00][41][97][23][9A][01][66]
171176015 : Rx: [84][00][41][97][23][9A][01][66]
171176265 : Rx: [84][00][23][9A][60][9D][02][66]
171176515 : Rx: [84][00][23][9A][60][9D][02][66]
171176765 : Rx: [04][00][23][9A][60][9D][02][66]
171177000 : Rx: [04][00][23][9A][60][9D][02][66]
171177250 : Rx: [04][00][60][9D][4E][A0][03][66]
171177500 : Rx fail
171177750 : Rx: [84][00][60][9D][4E][A0][03][66]
171177984 : Rx: [84][00][4E][A0][18][A3][04][66]
171178234 : Rx: [84][00][4E][A0][18][A3][04][66]
171178484 : Rx: [84][00][4E][A0][18][A3][04][66]
171178734 : Rx: [04][00][18][A3][EA][A5][05][65]
171178968 : Rx: [04][00][18][A3][EA][A5][05][65]
171179218 : Rx: [04][00][EA][A5][C0][A8][06][63]
171179468 : Rx: [04][00][EA][A5][C0][A8][06][63]
171179718 : Rx fail
171179968 : Rx: [84][00][C0][A8][4F][AB][07][61]
171180203 : Rx: [84][00][C0][A8][4F][AB][07][61]
171180453 : Rx: [84][00][C0][A8][4F][AB][07][61]
171180703 : Rx: [04][00][4F][AB][E6][AD][08][5F]
171180953 : Rx: [04][00][4F][AB][E6][AD][08][5F]
171181187 : Rx: [04][00][E6][AD][77][B0][09][5E]
171181437 : Rx: [04][00][E6][AD][77][B0][09][5E]
171181687 : Rx: [89][FC][FF][FF][77][B0][09][5E]
171181937 : Rx: [89][FC][FF][FF][42][B3][0A][5D]
171182171 : Rx: [89][FC][FF][FF][42][B3][0A][5D]
171182421 : Rx: [89][FC][FF][FF][42][B3][0A][5D]
171182671 : Rx: [04][00][42][B3][29][B6][0B][5A]
171182921 : Rx: [04][00][42][B3][29][B6][0B][5A]
171183156 : Rx: [04][00][42][B3][29][B6][0B][5A]
171183406 : Rx: [04][00][29][B6][2E][B9][0C][57]
171183656 : Rx: [84][00][29][B6][2E][B9][0C][57]
171183906 : Rx: [84][00][29][B6][2E][B9][0C][57]
171184140 : Rx: [84][00][2E][B9][16][BC][0D][55]
171184390 : Rx: [84][00][2E][B9][16][BC][0D][55]
171184640 : Rx: [04][00][2E][B9][16][BC][0D][55]
171184890 : Rx: [04][00][16][BC][9F][BE][0E][55]
171185125 : Rx: [04][00][16][BC][9F][BE][0E][55]
171185375 : Rx: [79][46][BB][12][17][C1][0F][55]
171185625 : Rx: [84][00][9F][BE][17][C1][0F][55]
171185875 : Rx: [84][00][9F][BE][17][C1][0F][55]
171186125 : Rx: [84][00][17][C1][8B][C3][10][55]
171186359 : Rx: [84][00][17][C1][8B][C3][10][55]
171186609 : Rx: [04][00][8B][C3][46][C6][11][56]
171186859 : Rx: [04][00][8B][C3][46][C6][11][56]
171187109 : Rx: [04][00][8B][C3][46][C6][11][56]
171187343 : Rx: [04][00][46][C6][73][C9][12][56]
171187593 : Rx: [84][00][46][C6][73][C9][12][56]
171187843 : Rx: [84][00][46][C6][73][C9][12][56]
171188093 : Rx fail
171188328 : Rx: [84][00][73][C9][9D][CC][13][56]
171188578 : Rx: [79][51][A4][06][9D][CC][13][56]
171188828 : Rx: [04][00][73][C9][9D][CC][13][56]
171189078 : Rx: [04][00][9D][CC][9C][CF][14][55]
171189312 : Rx: [04][00][9D][CC][9C][CF][14][55]
171189562 : Rx: [84][00][9D][CC][9C][CF][14][55]
171189812 : Rx: [84][00][9C][CF][76][D2][15][53]
171190062 : Rx: [84][00][9C][CF][76][D2][15][53]
171190296 : Rx: [84][00][9C][CF][76][D2][15][53]
171190546 : Rx: [04][00][76][D2][26][D5][16][53]
171190796 : Rx: [04][00][76][D2][26][D5][16][53]
171191046 : Rx: [04][00][26][D5][BB][D7][17][56]
171191296 : Rx: [04][00][26][D5][BB][D7][17][56]
171191531 : Rx: [84][00][26][D5][BB][D7][17][56]
171191781 : Rx: [F9][47][21][0B][46][DA][18][59]
171192031 : Rx: [84][00][BB][D7][46][DA][18][59]
171192281 : Rx: [84][00][BB][D7][46][DA][18][59]
171192515 : Rx: [04][00][46][DA][CE][DC][19][5C]
171192765 : Rx fail
171193015 : Rx: [04][00][CE][DC][5F][DF][1A][5D]
171193265 : Rx: [04][00][CE][DC][5F][DF][1A][5D]
171193500 : Rx: [84][00][CE][DC][5F][DF][1A][5D]
171193750 : Rx: [84][00][5F][DF][FB][E1][1B][5D]
171194000 : Rx: [84][00][5F][DF][FB][E1][1B][5D]
171194250 : Rx: [84][00][FB][E1][94][E4][1C][5D]
171194484 : Rx: [04][00][FB][E1][94][E4][1C][5D]
171194734 : Rx: [04][00][FB][E1][94][E4][1C][5D]
171194984 : Rx: [79][52][00][06][29][E7][1D][5D]
171195234 : Rx: [04][00][94][E4][29][E7][1D][5D]
171195468 : Rx: [84][00][29][E7][8E][E9][1E][5D]
171195718 : Rx: [84][00][29][E7][8E][E9][1E][5D]
171195968 : Rx fail
171196218 : Rx: [84][00][8E][E9][09][EC][1F][5F]
171196468 : Rx: [04][00][8E][E9][09][EC][1F][5F]
171196703 : Rx: [04][00][09][EC][71][EE][20][61]
171196953 : Rx: [04][00][09][EC][71][EE][20][61]
171197203 : Rx: [04][00][09][EC][71][EE][20][61]
171197453 : Rx: [84][00][71][EE][D5][F0][21][62]
171197687 : Rx: [84][00][71][EE][D5][F0][21][62]
171197937 : Rx: [84][00][D5][F0][29][F3][22][63]
171198187 : Rx: [F9][48][00][00][29][F3][22][63]
171198437 : Rx: [01][79][63][87][89][F5][23][64]
171198671 : Rx: [01][79][63][87][89][F5][23][64]
171198921 : Rx: [01][79][63][87][89][F5][23][64]
171199171 : Rx: [01][79][63][87][54][F8][24][64]
171199421 : Rx: [84][00][89][F5][54][F8][24][64]
171199656 : Rx: [84][00][89][F5][54][F8][24][64]
171199906 : Rx: [84][00][54][F8][D8][FA][25][64]
171200156 : Rx: [84][00][54][F8][D8][FA][25][64]
171200406 : Rx: [04][00][D8][FA][5B][FD][26][64]
171200640 : Rx: [04][00][D8][FA][5B][FD][26][64]
171200890 : Rx: [04][00][D8][FA][5B][FD][26][64]
171201140 : Rx: [04][00][5B][FD][DF][FF][27][63]
171201390 : Rx: [F9][42][6D][08][DF][FF][27][63]
171201625 : Rx: [84][00][DF][FF][63][02][28][61]
171201875 : Rx: [84][00][DF][FF][63][02][28][61]
171202125 : Rx: [84][00][DF][FF][63][02][28][61]
171202375 : Rx: [04][00][63][02][37][04][29][61]
171202625 : Rx: [04][00][37][04][3F][07][2A][61]
171202859 : Rx: [04][00][37][04][3F][07][2A][61]
171203109 : Rx: [04][00][37][04][3F][07][2A][61]
