timestamp,hr,fixed
10:16:58.940439,114.0,0
10:16:59.540011,114.0,0
10:16:59.951755,115.0,0
10:17:00.548277,115.0,0
10:17:01.142827,115.0,0
10:17:01.559924,115.0,0
10:17:02.152332,116.0,0
10:17:02.769055,116.0,0
10:17:03.182637,116.0,0
10:17:03.964682,116.0,0
10:17:04.351193,116.0,0
10:17:04.766409,116.0,0
10:17:05.358874,116.0,0
10:17:05.959656,117.0,0
10:17:06.376839,117.0,0
10:17:06.967895,117.0,0
10:17:07.561780,117.0,0
10:17:08.161667,117.0,0
10:17:08.573949,117.0,0
10:17:09.170522,117.0,0
10:17:09.763986,117.0,0
10:17:10.179754,117.0,0
10:17:10.774575,117.0,0
10:17:11.371178,117.0,0
10:17:11.786197,116.0,0
10:17:12.381596,116.0,0
10:17:12.979494,116.0,0
10:17:13.573677,115.0,0
10:17:13.994818,114.0,0
10:17:14.583057,113.0,0
10:17:15.177037,113.0,0
10:17:15.593935,112.0,0
10:17:16.208981,112.0,0
10:17:16.805312,112.0,0
10:17:17.221704,111.0,0
10:17:17.791758,111.0,0
10:17:18.417298,110.0,0
10:17:18.801473,110.0,0
10:17:19.399765,109.0,0
10:17:20.005930,109.0,0
10:17:20.419353,108.0,0
10:17:21.004659,107.0,0
10:17:21.607996,106.0,0
10:17:22.195918,105.0,0
10:17:22.614571,105.0,0
10:17:23.207226,104.0,0
10:17:23.800765,103.0,0
10:17:24.227583,102.0,0
10:17:24.815899,102.0,0
10:17:25.406180,102.0,0
10:17:25.835697,101.0,0
10:17:26.417030,101.0,0
10:17:27.009326,100.0,0
10:17:27.608055,100.0,0
10:17:28.020173,99.0,0
10:17:28.621140,98.0,0
10:17:29.212355,98.0,0
10:17:29.830155,97.0,0
10:17:30.254922,97.0,0
10:17:31.022336,96.0,0
10:17:31.228858,96.0,0
10:17:31.825490,96.0,0
10:17:32.418799,96.0,0
10:17:32.834649,96.0,0
10:17:33.429522,95.0,0
10:17:34.031880,95.0,0
10:17:34.444385,95.0,0
10:17:35.044506,94.0,0
10:17:35.631821,94.0,0
10:17:36.228360,93.0,0
10:17:36.642426,93.0,0
10:17:37.237458,92.0,0
10:17:37.834433,92.0,0
10:17:38.247222,91.0,0
10:17:38.841042,91.0,0
10:17:39.441214,90.0,0
10:17:39.851114,89.0,0
10:17:40.452683,89.0,0
10:17:41.045456,88.0,0
10:17:41.644352,86.0,0
10:17:42.054010,86.0,0
10:17:42.656085,85.0,0
10:17:43.267559,83.0,0
10:17:43.681683,82.0,0
10:17:44.254854,81.0,0
10:17:44.849336,80.0,0
10:17:45.264791,79.0,0
10:17:45.860047,78.0,0
10:17:46.453945,77.0,0
10:17:46.869312,75.0,0
10:17:47.465449,74.0,0
10:17:48.062711,73.0,0
10:17:48.475113,72.0,0
10:17:49.072214,70.0,0
10:17:49.666436,69.0,0
10:17:50.263070,68.0,0
10:17:50.677836,67.0,0
10:17:51.273395,66.0,0
10:17:51.866923,65.0,0
10:17:52.282953,62.0,0
10:17:52.875920,61.0,0
10:17:53.476384,60.0,0
10:17:53.885068,59.0,0
10:17:54.487718,58.0,0
10:17:55.079032,58.0,0
10:17:55.678637,57.0,0
10:17:56.090227,56.0,0
10:17:56.712066,56.0,0
10:17:57.116791,56.0,0
10:17:57.898059,55.0,0
10:17:58.285889,55.0,0
10:17:58.884107,55.0,0
10:17:59.297230,54.0,0
10:17:59.894593,53.0,0
10:18:00.488544,53.0,0
10:18:00.905686,52.0,0
10:18:01.500205,52.0,0
10:18:02.098161,52.0,0
10:18:02.507414,52.0,0
10:18:03.108621,52.0,0
10:18:03.701480,51.0,0
10:18:04.298066,51.0,0
10:18:04.713287,50.0,0
10:18:05.308223,49.0,0
10:18:05.901304,49.0,0
10:18:06.324469,48.0,0
10:18:06.912738,48.0,0
10:18:07.511345,48.0,0
10:18:07.925078,47.0,0
10:18:08.522108,47.0,0
10:18:09.114918,47.0,0
10:18:09.711014,47.0,0
10:18:10.325906,47.0,0
10:18:10.743875,47.0,0
10:18:11.155194,47.0,0
10:18:11.728208,47.0,0
10:18:12.321313,47.0,0
10:18:12.919916,47.0,0
10:18:13.332296,47.0,0
10:18:13.932116,47.0,0
10:18:14.524075,47.0,0
10:18:14.940957,47.0,0
10:18:15.534059,48.0,0
10:18:16.130453,47.0,0
10:18:16.546449,47.0,0
10:18:17.145607,47.0,0
10:18:17.736294,47.0,0
10:18:18.336594,47.0,0
10:18:18.745630,47.0,0
10:18:19.343868,47.0,0
10:18:19.937073,47.0,0
10:18:20.355078,47.0,0
10:18:20.950667,47.0,0
10:18:21.547414,48.0,0
10:18:21.955178,47.0,0
10:18:22.556829,47.0,0
10:18:23.149774,46.0,0
10:18:23.767118,46.0,0
10:18:24.177891,46.0,0
10:18:24.776408,46.0,0
10:18:25.369432,46.0,0
10:18:25.765804,47.0,0
10:18:26.380177,48.0,0
10:18:26.958041,48.0,0
10:18:27.368060,48.0,0
10:18:27.964710,48.0,0
10:18:28.560093,48.0,0
10:18:28.979816,47.0,0
10:18:29.569229,47.0,0
10:18:30.164559,47.0,0
10:18:30.578657,47.0,0
10:18:31.175359,46.0,0
10:18:31.768348,46.0,0
10:18:32.367241,46.0,0
10:18:32.782112,46.0,0
10:18:33.379006,46.0,0
10:18:33.971504,46.0,0
10:18:34.391267,46.0,0
10:18:34.982242,46.0,0
10:18:35.580165,46.0,0
10:18:35.990364,46.0,0
10:18:36.591140,46.0,0
10:18:37.202075,46.0,0
10:18:37.634117,46.0,0
10:18:38.396126,46.0,0
10:18:38.788620,47.0,0
10:18:39.197988,46.0,0
10:18:39.798450,46.0,0
10:18:40.393169,46.0,0
10:18:40.991070,46.0,0
10:18:41.403751,46.0,0
10:18:41.997323,46.0,0
10:18:42.595083,46.0,0
10:18:43.007013,46.0,0
10:18:43.603067,46.0,0
10:18:44.200050,46.0,0
10:18:44.614464,46.0,0
10:18:45.210154,46.0,0
10:18:45.803436,46.0,0
10:18:46.402234,47.0,0
10:18:46.816883,47.0,0
10:18:47.416824,48.0,0
10:18:48.006197,48.0,0
10:18:48.427954,48.0,0
10:18:49.019860,48.0,0
