*** New Session***
10-11-2021 09:05:00
Product Name: forerunner
87655375 : Rx: [00][FF][FF][FF][B4][F6][AB][48]
87655609 : Rx: [00][FF][FF][FF][09][FA][AC][48]
87655859 : Rx: [80][FF][FF][FF][09][FA][AC][48]
87656109 : Rx: [80][FF][FF][FF][09][FA][AC][48]
87656359 : Rx: [80][FF][FF][FF][5E][FD][AD][48]
87656609 : Rx: [80][FF][FF][FF][5E][FD][AD][48]
87656843 : Rx: [00][FF][FF][FF][5E][FD][AD][48]
87657093 : Rx: [00][FF][FF][FF][5E][FD][AD][48]
87657343 : Rx: [00][FF][FF][FF][B3][00][AE][48]
87657593 : Rx: [00][FF][FF][FF][B3][00][AE][46]
87657828 : Rx fail
87658078 : Rx: [80][FF][FF][FF][20][04][AF][46]
87658328 : Rx: [80][FF][FF][FF][20][04][AF][46]
87658578 : Rx: [80][FF][FF][FF][20][04][AF][46]
87658812 : Rx: [00][FF][FF][FF][20][04][AF][46]
87659062 : Rx: [00][FF][FF][FF][8D][07][B0][46]
87659312 : Rx: [00][FF][FF][FF][8D][07][B0][46]
87659562 : Rx: [00][FF][FF][FF][8D][07][B0][46]
87659796 : Rx: [80][FF][FF][FF][07][0B][B1][45]
87660046 : Rx: [80][FF][FF][FF][07][0B][B1][45]
87660296 : Rx: [80][FF][FF][FF][07][0B][B1][45]
87660546 : Rx fail
87660781 : Rx: [00][FF][FF][FF][81][0E][B2][45]
87661031 : Rx: [00][FF][FF][FF][81][0E][B2][45]
87661281 : Rx: [00][FF][FF][FF][81][0E][B2][45]
87661531 : Rx: [00][FF][FF][FF][FB][11][B3][45]
87661781 : Rx: [80][FF][FF][FF][FB][11][B3][46]
87662015 : Rx: [80][FF][FF][FF][FB][11][B3][46]
87662265 : Rx: [80][FF][FF][FF][FB][11][B3][46]
87662515 : Rx: [80][FF][FF][FF][68][15][B4][46]
87662765 : Rx: [00][FF][FF][FF][68][15][B4][46]
87663000 : Rx: [00][FF][FF][FF][68][15][B4][46]
87663250 : Rx: [00][FF][FF][FF][D5][18][B5][46]
87663500 : Rx: [00][FF][FF][FF][D5][18][B5][46]
87663750 : Rx: [80][FF][FF][FF][D5][18][B5][46]
87663984 : Rx: [80][FF][FF][FF][D5][18][B5][46]
87664234 : Rx: [80][FF][FF][FF][42][1C][B6][46]
87664484 : Rx: [80][FF][FF][FF][42][1C][B6][46]
87664734 : Rx: [00][FF][FF][FF][42][1C][B6][46]
87664968 : Rx: [00][FF][FF][FF][AF][1F][B7][46]
