*** New Session***
03-11-2021 11:05:26
Product Name: Forerunner
236139625 : Rx: [00][FF][FF][FF][0B][A5][90][5E]
236139875 : Rx: [00][FF][FF][FF][0B][A5][90][5E]
236140125 : Rx: [00][FF][FF][FF][98][A7][91][5E]
236140359 : Rx fail
236140609 : Rx: [80][FF][FF][FF][25][AA][92][5E]
236140859 : Rx: [80][FF][FF][FF][25][AA][92][5E]
236141109 : Rx: [80][FF][FF][FF][25][AA][92][5E]
236141343 : Rx: [80][FF][FF][FF][B2][AC][93][5E]
236141593 : Rx: [00][FF][FF][FF][B2][AC][93][5E]
236141843 : Rx: [00][FF][FF][FF][B2][AC][93][5E]
236142093 : Rx: [00][FF][FF][FF][3F][AF][94][5E]
236142328 : Rx: [00][FF][FF][FF][3F][AF][94][5E]
236142578 : Rx: [80][FF][FF][FF][CC][B1][95][5E]
236142828 : Rx: [80][FF][FF][FF][CC][B1][95][5D]
236143078 : Rx: [80][FF][FF][FF][CC][B1][95][5D]
236143312 : Rx: [80][FF][FF][FF][60][B4][96][5D]
236143562 : Rx: [00][FF][FF][FF][60][B4][96][5D]
236143812 : Rx: [00][FF][FF][FF][F4][B6][97][5D]
236144062 : Rx: [00][FF][FF][FF][F4][B6][97][5D]
236144312 : Rx: [00][FF][FF][FF][F4][B6][97][5D]
236144546 : Rx: [80][FF][FF][FF][88][B9][98][5D]
236144796 : Rx fail
236145046 : Rx fail
236145296 : Rx: [80][FF][FF][FF][23][BC][99][5C]
236145531 : Rx: [00][FF][FF][FF][23][BC][99][5C]
236145781 : Rx: [00][FF][FF][FF][C6][BE][9A][5B]
236146031 : Rx: [00][FF][FF][FF][C6][BE][9A][5B]
236146281 : Rx: [00][FF][FF][FF][C6][BE][9A][5B]
236146515 : Rx: [80][FF][FF][FF][69][C1][9B][5B]
236146765 : Rx: [80][FF][FF][FF][69][C1][9B][5B]
236147015 : Rx fail
236147265 : Rx fail
236147500 : Rx fail
236147750 : Rx fail
236148000 : Rx fail
236148250 : Rx fail
236148484 : Rx fail
236148734 : Rx fail
236148984 : Go to search
236178875 : Search timeout
236178875 : Channel closed
236410625 : Search timeout
236410625 : Channel closed
236442625 : Search timeout
236442625 : Channel closed
236451375 : Rx: [80][FF][FF][FF][20][83][E0][5A]
236451625 : Rx: [80][FF][FF][FF][CA][85][E1][5A]
236451859 : Rx: [00][FF][FF][FF][CA][85][E1][59]
236452109 : Rx: [00][FF][FF][FF][CA][85][E1][59]
236452359 : Rx fail
236452609 : Rx: [00][FF][FF][FF][7C][88][E2][59]
236452843 : Rx: [80][FF][FF][FF][7C][88][E2][57]
236453093 : Rx: [80][FF][FF][FF][3E][8B][E3][57]
236453343 : Rx: [80][FF][FF][FF][3E][8B][E3][57]
236453593 : Rx: [80][FF][FF][FF][00][8E][E4][57]
236453828 : Rx: [00][FF][FF][FF][00][8E][E4][59]
236454078 : Rx: [00][FF][FF][FF][00][8E][E4][59]
236454328 : Rx: [00][FF][FF][FF][B2][90][E5][59]
236454578 : Rx fail
236454828 : Rx: [80][FF][FF][FF][B2][90][E5][58]
236455062 : Rx: [80][FF][FF][FF][6C][93][E6][58]
236455312 : Rx: [80][FF][FF][FF][6C][93][E6][58]
236455562 : Rx fail
236455812 : Rx fail
236456046 : Rx fail
236456296 : Rx: [00][FF][FF][FF][E0][98][E8][58]
236456546 : Rx fail
236456796 : Rx: [80][FF][FF][FF][E0][98][E8][57]
236457031 : Rx: [80][FF][FF][FF][A2][9B][E9][57]
236457281 : Rx: [80][FF][FF][FF][A2][9B][E9][57]
236457531 : Rx: [80][FF][FF][FF][A2][9B][E9][57]
236457781 : Rx fail
236458015 : Rx: [00][FF][FF][FF][74][9E][EA][55]
236458265 : Rx: [00][FF][FF][FF][74][9E][EA][55]
236458515 : Rx: [00][FF][FF][FF][46][A1][EB][55]
236458765 : Rx fail
236459000 : Rx: [80][FF][FF][FF][46][A1][EB][57]
236459250 : Rx: [80][FF][FF][FF][08][A4][EC][57]
236459500 : Rx: [80][FF][FF][FF][08][A4][EC][57]
236459750 : Rx: [02][01][94][C8][C2][A6][ED][58]
236459984 : Rx: [02][01][94][C8][C2][A6][ED][58]
236460234 : Rx: [02][01][94][C8][C2][A6][ED][58]
236460484 : Rx: [02][01][94][C8][7C][A9][EE][58]
236460734 : Rx: [80][FF][FF][FF][7C][A9][EE][58]
236460984 : Rx fail
236461218 : Rx: [80][FF][FF][FF][36][AC][EF][58]
236461468 : Rx: [80][FF][FF][FF][36][AC][EF][58]
236461718 : Rx: [00][FF][FF][FF][36][AC][EF][57]
236461968 : Rx: [00][FF][FF][FF][F8][AE][F0][57]
236462203 : Rx: [00][FF][FF][FF][F8][AE][F0][57]
236462453 : Rx: [00][FF][FF][FF][F8][AE][F0][57]
236462703 : Rx: [80][FF][FF][FF][BA][B1][F1][57]
236462953 : Rx: [80][FF][FF][FF][BA][B1][F1][58]
236463187 : Rx: [80][FF][FF][FF][74][B4][F2][58]
236463437 : Rx: [80][FF][FF][FF][74][B4][F2][58]
236463687 : Rx: [00][FF][FF][FF][74][B4][F2][58]
236463937 : Rx: [00][FF][FF][FF][26][B7][F3][59]
236464171 : Rx: [00][FF][FF][FF][26][B7][F3][59]
236464421 : Rx: [00][FF][FF][FF][26][B7][F3][59]
236464671 : Rx: [80][FF][FF][FF][D8][B9][F4][59]
236464921 : Rx: [80][FF][FF][FF][D8][B9][F4][59]
236465156 : Rx fail
236465406 : Rx: [80][FF][FF][FF][8A][BC][F5][59]
236465656 : Rx: [00][FF][FF][FF][8A][BC][F5][59]
236465906 : Rx: [00][FF][FF][FF][3C][BF][F6][59]
236466156 : Rx: [00][FF][FF][FF][3C][BF][F6][59]
236466390 : Rx: [00][FF][FF][FF][3C][BF][F6][59]
236466640 : Rx: [80][FF][FF][FF][EE][C1][F7][59]
236466890 : Rx: [80][FF][FF][FF][EE][C1][F7][59]
236467140 : Rx: [80][FF][FF][FF][EE][C1][F7][59]
236467375 : Rx: [80][FF][FF][FF][A0][C4][F8][59]
236467625 : Rx: [00][FF][FF][FF][A0][C4][F8][59]
236467875 : Rx: [00][FF][FF][FF][A0][C4][F8][59]
236468125 : Rx: [00][FF][FF][FF][52][C7][F9][59]
236468359 : Rx: [00][FF][FF][FF][52][C7][F9][59]
236468609 : Rx: [80][FF][FF][FF][04][CA][FA][59]
236468859 : Rx fail
236469109 : Rx: [80][FF][FF][FF][04][CA][FA][59]
236469343 : Rx: [80][FF][FF][FF][B6][CC][FB][59]
236469593 : Rx: [00][FF][FF][FF][B6][CC][FB][59]
236469843 : Rx: [00][FF][FF][FF][B6][CC][FB][59]
236470093 : Rx fail
236470328 : Rx fail
236470578 : Rx: [80][FF][FF][FF][1A][D2][FD][59]
236470828 : Rx: [80][FF][FF][FF][1A][D2][FD][59]
236471078 : Rx: [80][FF][FF][FF][1A][D2][FD][59]
236471328 : Rx fail
236471562 : Rx fail
236471812 : Rx: [00][FF][FF][FF][CC][D4][FE][58]
236472062 : Rx: [00][FF][FF][FF][86][D7][FF][58]
236472312 : Rx: [00][FF][FF][FF][86][D7][FF][58]
236472546 : Rx: [80][FF][FF][FF][86][D7][FF][58]
236472796 : Rx: [80][FF][FF][FF][40][DA][00][58]
236473046 : Rx: [80][FF][FF][FF][40][DA][00][58]
236473296 : Rx: [80][FF][FF][FF][FA][DC][01][58]
236473531 : Rx: [00][FF][FF][FF][FA][DC][01][58]
236473781 : Rx: [00][FF][FF][FF][FA][DC][01][57]
236474031 : Rx: [00][FF][FF][FF][BC][DF][02][57]
236474281 : Rx: [00][FF][FF][FF][BC][DF][02][57]
236474515 : Rx: [80][FF][FF][FF][BC][DF][02][57]
236474765 : Rx fail
236475015 : Rx: [80][FF][FF][FF][86][E2][03][56]
236475265 : Rx: [80][FF][FF][FF][86][E2][03][56]
236475500 : Rx fail
236475750 : Rx fail
236476000 : Rx: [00][FF][FF][FF][50][E5][04][55]
236476250 : Rx: [00][FF][FF][FF][22][E8][05][55]
236476484 : Rx fail
236476734 : Rx: [83][FF][AE][FF][22][E8][05][54]
236476984 : Rx: [83][FF][AE][FF][FD][EA][06][54]
236477234 : Rx: [83][FF][AE][FF][FD][EA][06][54]
236477484 : Rx: [00][FF][FF][FF][FD][EA][06][54]
236477718 : Rx fail
236477968 : Rx: [00][FF][FF][FF][D8][ED][07][54]
236478218 : Rx fail
236478468 : Rx: [80][FF][FF][FF][B3][F0][08][54]
236478703 : Rx: [80][FF][FF][FF][B3][F0][08][54]
236478953 : Rx: [80][FF][FF][FF][8E][F3][09][54]
236479203 : Rx: [80][FF][FF][FF][8E][F3][09][54]
236479453 : Rx: [00][FF][FF][FF][8E][F3][09][54]
236479687 : Rx: [00][FF][FF][FF][72][F6][0A][53]
236479937 : Rx: [00][FF][FF][FF][72][F6][0A][53]
236480187 : Rx: [00][FF][FF][FF][72][F6][0A][53]
236480437 : Rx: [80][FF][FF][FF][56][F9][0B][53]
236480671 : Rx: [80][FF][FF][FF][56][F9][0B][53]
236480921 : Rx: [80][FF][FF][FF][56][F9][0B][53]
236481171 : Rx: [80][FF][FF][FF][3A][FC][0C][53]
236481421 : Rx: [00][FF][FF][FF][3A][FC][0C][53]
236481671 : Rx: [00][FF][FF][FF][3A][FC][0C][53]
236481906 : Rx: [00][FF][FF][FF][27][FF][0D][52]
236482156 : Rx fail
236482406 : Rx: [80][FF][FF][FF][27][FF][0D][52]
236482656 : Rx: [80][FF][FF][FF][14][02][0E][52]
236482890 : Rx: [80][FF][FF][FF][14][02][0E][51]
236483140 : Rx: [80][FF][FF][FF][14][02][0E][51]
236483390 : Rx fail
236483640 : Rx: [00][FF][FF][FF][0A][05][0F][51]
236483875 : Rx: [00][FF][FF][FF][0A][05][0F][51]
236484125 : Rx: [00][FF][FF][FF][00][08][10][51]
236484375 : Rx: [80][FF][FF][FF][00][08][10][51]
236484625 : Rx: [80][FF][FF][FF][00][08][10][51]
236484859 : Rx: [80][FF][FF][FF][00][0B][11][50]
236485109 : Rx: [80][FF][FF][FF][00][0B][11][50]
236485359 : Rx: [00][FF][FF][FF][00][0B][11][50]
236485609 : Rx: [00][FF][FF][FF][00][0E][12][50]
236485843 : Rx: [00][FF][FF][FF][00][0E][12][50]
236486093 : Rx: [00][FF][FF][FF][00][0E][12][50]
236486343 : Rx: [80][FF][FF][FF][00][11][13][50]
236486593 : Rx: [80][FF][FF][FF][00][11][13][50]
236486843 : Rx: [80][FF][FF][FF][00][11][13][4F]
236487078 : Rx: [80][FF][FF][FF][09][14][14][4F]
236487328 : Rx: [00][FF][FF][FF][09][14][14][4F]
236487578 : Rx: [00][FF][FF][FF][09][14][14][4F]
236487828 : Rx: [00][FF][FF][FF][1C][17][15][4E]
236488062 : Rx: [00][FF][FF][FF][1C][17][15][4E]
236488312 : Rx: [80][FF][FF][FF][1C][17][15][4E]
236488562 : Rx: [80][FF][FF][FF][1C][17][15][4E]
236488812 : Rx: [80][FF][FF][FF][39][1A][16][4D]
236489046 : Rx: [80][FF][FF][FF][39][1A][16][4D]
236489296 : Rx: [00][FF][FF][FF][39][1A][16][4D]
236489546 : Rx: [00][FF][FF][FF][56][1D][17][4D]
236489796 : Rx: [00][FF][FF][FF][56][1D][17][4D]
236490031 : Rx: [00][FF][FF][FF][56][1D][17][4D]
236490281 : Rx: [80][FF][FF][FF][73][20][18][4D]
236490531 : Rx: [80][FF][FF][FF][73][20][18][4D]
236490781 : Rx: [80][FF][FF][FF][73][20][18][4C]
236491015 : Rx: [80][FF][FF][FF][9B][23][19][4C]
236491265 : Rx: [00][FF][FF][FF][9B][23][19][4C]
236491515 : Rx: [00][FF][FF][FF][9B][23][19][4C]
236491765 : Rx: [00][FF][FF][FF][C3][26][1A][4C]
236492000 : Rx: [00][FF][FF][FF][C3][26][1A][4C]
236492250 : Rx: [80][FF][FF][FF][C3][26][1A][4C]
236492500 : Rx: [80][FF][FF][FF][C3][26][1A][4C]
236492750 : Rx: [80][FF][FF][FF][EB][29][1B][4C]
236493000 : Rx: [80][FF][FF][FF][EB][29][1B][4C]
236493234 : Rx: [09][FD][FF][FF][EB][29][1B][4C]
236493484 : Rx: [09][FD][FF][FF][13][2D][1C][4C]
236493734 : Rx: [09][FD][FF][FF][13][2D][1C][4C]
236493984 : Rx: [09][FD][FF][FF][13][2D][1C][4C]
236494218 : Rx fail
236494468 : Rx: [80][FF][FF][FF][3B][30][1D][4C]
236494718 : Rx: [80][FF][FF][FF][3B][30][1D][4C]
236494968 : Rx fail
236495203 : Rx: [00][FF][FF][FF][63][33][1E][4C]
236495453 : Rx: [00][FF][FF][FF][63][33][1E][4C]
236495703 : Rx fail
236495953 : Rx fail
236496187 : Rx fail
236496437 : Rx: [80][FF][FF][FF][8B][36][1F][4B]
236496687 : Rx fail
236496937 : Rx: [80][FF][FF][FF][BE][39][20][4B]
236497187 : Rx: [00][FF][FF][FF][BE][39][20][4B]
236497421 : Rx: [00][FF][FF][FF][F1][3C][21][4B]
236497671 : Rx fail
236497921 : Rx: [00][FF][FF][FF][F1][3C][21][4B]
236498171 : Rx: [80][FF][FF][FF][24][40][22][4B]
236498406 : Rx: [80][FF][FF][FF][24][40][22][4B]
236498656 : Rx fail
236498906 : Rx fail
236499156 : Rx: [00][FF][FF][FF][4C][43][23][4C]
236499390 : Rx: [00][FF][FF][FF][4C][43][23][4C]
236499640 : Rx: [00][FF][FF][FF][4C][43][23][4C]
236499890 : Rx: [00][FF][FF][FF][74][46][24][4C]
236500140 : Rx: [80][FF][FF][FF][74][46][24][4C]
236500375 : Rx: [80][FF][FF][FF][74][46][24][4C]
236500625 : Rx: [80][FF][FF][FF][9C][49][25][4C]
236500875 : Rx: [80][FF][FF][FF][9C][49][25][4D]
236501125 : Rx: [00][FF][FF][FF][9C][49][25][4D]
236501359 : Rx: [00][FF][FF][FF][B9][4C][26][4D]
236501609 : Rx: [00][FF][FF][FF][B9][4C][26][4D]
236501859 : Rx: [00][FF][FF][FF][B9][4C][26][4E]
236502109 : Rx: [80][FF][FF][FF][CC][4F][27][4E]
236502359 : Rx: [80][FF][FF][FF][CC][4F][27][4E]
236502593 : Rx: [80][FF][FF][FF][CC][4F][27][4E]
236502843 : Rx: [80][FF][FF][FF][D5][52][28][4F]
236503093 : Rx: [00][FF][FF][FF][D5][52][28][4F]
236503343 : Rx: [00][FF][FF][FF][D5][52][28][4F]
236503578 : Rx: [00][FF][FF][FF][DE][55][29][4F]
236503828 : Rx: [00][FF][FF][FF][DE][55][29][51]
236504078 : Rx: [80][FF][FF][FF][DE][55][29][51]
236504328 : Rx: [80][FF][FF][FF][D4][58][2A][51]
236504562 : Rx: [80][FF][FF][FF][D4][58][2A][51]
236504812 : Rx: [80][FF][FF][FF][D4][58][2A][53]
236505062 : Rx: [00][FF][FF][FF][B8][5B][2B][53]
236505312 : Rx: [00][FF][FF][FF][B8][5B][2B][53]
236505546 : Rx: [00][FF][FF][FF][B8][5B][2B][53]
236505796 : Rx: [00][FF][FF][FF][8A][5E][2C][55]
236506046 : Rx: [80][FF][FF][FF][8A][5E][2C][55]
236506296 : Rx: [80][FF][FF][FF][8A][5E][2C][55]
236506531 : Rx: [80][FF][FF][FF][5C][61][2D][55]
236506781 : Rx: [80][FF][FF][FF][5C][61][2D][57]
236507031 : Rx: [00][FF][FF][FF][5C][61][2D][57]
236507281 : Rx: [00][FF][FF][FF][1E][64][2E][57]
236507531 : Rx: [00][FF][FF][FF][1E][64][2E][57]
236507765 : Rx: [00][FF][FF][FF][D8][66][2F][58]
236508015 : Rx fail
236508265 : Rx: [80][FF][FF][FF][D8][66][2F][58]
236508515 : Rx: [80][FF][FF][FF][92][69][30][58]
236508750 : Rx: [80][FF][FF][FF][92][69][30][5A]
236509000 : Rx: [00][FF][FF][FF][92][69][30][5A]
236509250 : Rx: [00][FF][FF][FF][3C][6C][31][5A]
236509500 : Rx: [00][FF][FF][FF][3C][6C][31][5A]
236509734 : Rx: [00][FF][FF][FF][3C][6C][31][5C]
236509984 : Rx: [82][01][94][C8][D7][6E][32][5C]
236510234 : Rx: [82][01][94][C8][D7][6E][32][5C]
236510484 : Rx: [82][01][94][C8][72][71][33][5C]
236510718 : Rx: [82][01][94][C8][72][71][33][5D]
236510968 : Rx: [00][FF][FF][FF][72][71][33][5D]
236511218 : Rx: [00][FF][FF][FF][06][74][34][5D]
236511468 : Rx: [00][FF][FF][FF][06][74][34][5D]
236511703 : Rx: [00][FF][FF][FF][93][76][35][5E]
236511953 : Rx: [80][FF][FF][FF][93][76][35][5E]
236512203 : Rx: [80][FF][FF][FF][93][76][35][5E]
236512453 : Rx: [80][FF][FF][FF][20][79][36][5E]
236512687 : Rx: [80][FF][FF][FF][20][79][36][5F]
236512937 : Rx: [00][FF][FF][FF][20][79][36][5F]
236513187 : Rx: [00][FF][FF][FF][A6][7B][37][5F]
236513437 : Rx: [00][FF][FF][FF][A6][7B][37][5F]
236513687 : Rx: [00][FF][FF][FF][2C][7E][38][5F]
236513921 : Rx fail
236514171 : Rx: [80][FF][FF][FF][2C][7E][38][60]
236514421 : Rx fail
236514671 : Rx fail
236514906 : Rx: [00][FF][FF][FF][25][83][3A][61]
236515156 : Rx: [00][FF][FF][FF][25][83][3A][61]
236515406 : Rx: [00][FF][FF][FF][25][83][3A][61]
236515656 : Rx: [00][FF][FF][FF][9E][85][3B][61]
236515890 : Rx: [80][FF][FF][FF][9E][85][3B][62]
236516140 : Rx: [80][FF][FF][FF][10][88][3C][62]
236516390 : Rx: [80][FF][FF][FF][10][88][3C][62]
236516640 : Rx: [80][FF][FF][FF][10][88][3C][62]
236516875 : Rx fail
236517125 : Rx: [00][FF][FF][FF][7C][8A][3D][63]
236517375 : Rx fail
236517625 : Rx: [00][FF][FF][FF][E8][8C][3E][63]
236517875 : Rx: [80][FF][FF][FF][E8][8C][3E][64]
236518109 : Rx: [80][FF][FF][FF][4E][8F][3F][64]
236518359 : Rx: [80][FF][FF][FF][4E][8F][3F][64]
236518609 : Rx: [80][FF][FF][FF][B4][91][40][64]
236518859 : Rx: [00][FF][FF][FF][B4][91][40][66]
236519093 : Rx: [00][FF][FF][FF][0E][94][41][66]
236519343 : Rx: [00][FF][FF][FF][0E][94][41][66]
236519593 : Rx: [00][FF][FF][FF][0E][94][41][66]
236519843 : Rx: [80][FF][FF][FF][68][96][42][66]
236520078 : Rx: [80][FF][FF][FF][68][96][42][66]
236520328 : Rx: [80][FF][FF][FF][C2][98][43][66]
236520578 : Rx: [80][FF][FF][FF][C2][98][43][66]
236520828 : Rx: [00][FF][FF][FF][16][9B][44][67]
236521062 : Rx: [00][FF][FF][FF][16][9B][44][67]
236521312 : Rx: [00][FF][FF][FF][16][9B][44][67]
236521562 : Rx: [00][FF][FF][FF][6A][9D][45][67]
236521812 : Rx: [80][FF][FF][FF][6A][9D][45][67]
236522046 : Rx: [80][FF][FF][FF][BE][9F][46][67]
236522296 : Rx: [80][FF][FF][FF][BE][9F][46][67]
236522546 : Rx: [80][FF][FF][FF][BE][9F][46][67]
236522796 : Rx: [00][FF][FF][FF][12][A2][47][67]
236523031 : Rx fail
236523281 : Rx: [00][FF][FF][FF][66][A4][48][67]
236523531 : Rx: [00][FF][FF][FF][66][A4][48][67]
236523781 : Rx: [80][FF][FF][FF][BA][A6][49][67]
236524031 : Rx: [80][FF][FF][FF][BA][A6][49][67]
236524265 : Rx fail
236524515 : Rx: [80][FF][FF][FF][0E][A9][4A][67]
236524765 : Rx: [00][FF][FF][FF][0E][A9][4A][68]
