*** New Session***
08-11-2021 15:03:59
Product Name: Hrm-Pro
281156187 : Rx: [84][00][C4][A0][40][A4][E3][51]
281156437 : Rx: [04][00][C4][A0][40][A4][E3][51]
281156671 : Rx: [04][00][C4][A0][40][A4][E3][51]
281156921 : Rx: [04][00][40][A4][C2][A7][E4][50]
281157171 : Rx: [04][00][40][A4][C2][A7][E4][50]
281157421 : Rx: [84][00][40][A4][C2][A7][E4][50]
281157656 : Rx: [84][00][C2][A7][43][AB][E5][4F]
281157906 : Rx: [84][00][C2][A7][43][AB][E5][4F]
281158156 : Rx: [84][00][C2][A7][43][AB][E5][4F]
281158406 : Rx: [04][00][C2][A7][43][AB][E5][4F]
281158656 : Rx: [04][00][43][AB][BD][AE][E6][4E]
281158890 : Rx: [04][00][43][AB][BD][AE][E6][4E]
281159140 : Rx: [04][00][43][AB][BD][AE][E6][4E]
281159390 : Rx: [84][00][43][AB][BD][AE][E6][4E]
281159625 : Rx fail
281159875 : Rx: [F9][42][0E][07][2B][B2][E7][4A]
281160125 : Rx: [84][00][BD][AE][2B][B2][E7][4A]
281160375 : Rx: [04][00][2B][B2][A0][B5][E8][48]
281160625 : Rx: [04][00][2B][B2][A0][B5][E8][48]
281160859 : Rx: [04][00][2B][B2][A0][B5][E8][48]
281161109 : Rx: [04][00][A0][B5][20][B9][E9][47]
281161359 : Rx: [84][00][A0][B5][20][B9][E9][47]
281161609 : Rx: [84][00][A0][B5][20][B9][E9][47]
281161843 : Rx: [84][00][A0][B5][20][B9][E9][47]
281162093 : Rx: [84][00][20][B9][9D][BC][EA][46]
281162343 : Rx: [04][00][20][B9][9D][BC][EA][46]
281162593 : Rx: [04][00][20][B9][9D][BC][EA][46]
281162828 : Rx: [04][00][20][B9][9D][BC][EA][46]
281163078 : Rx: [04][00][9D][BC][FD][BF][EB][45]
281163328 : Rx: [84][00][9D][BC][FD][BF][EB][45]
281163578 : Rx fail
281163812 : Rx: [84][00][FD][BF][61][C3][EC][46]
281164062 : Rx: [84][00][FD][BF][61][C3][EC][46]
281164312 : Rx: [04][00][FD][BF][61][C3][EC][46]
281164562 : Rx: [04][00][61][C3][DA][C6][ED][46]
281164796 : Rx: [04][00][61][C3][DA][C6][ED][46]
281165046 : Rx: [04][00][61][C3][DA][C6][ED][46]
281165296 : Rx: [84][00][61][C3][DA][C6][ED][46]
281165546 : Rx: [84][00][DA][C6][37][CA][EE][47]
281165781 : Rx: [84][00][DA][C6][37][CA][EE][47]
281166031 : Rx fail
281166281 : Rx: [04][00][37][CA][95][CD][EF][47]
281166531 : Rx: [04][00][37][CA][95][CD][EF][47]
281166781 : Rx: [04][00][37][CA][95][CD][EF][47]
281167015 : Rx: [04][00][37][CA][95][CD][EF][47]
281167265 : Rx: [84][00][95][CD][D0][D0][F0][47]
281167515 : Rx fail
281167765 : Rx: [84][00][95][CD][D0][D0][F0][47]
281168000 : Rx: [84][00][D0][D0][48][D4][F1][47]
281168250 : Rx: [04][00][D0][D0][48][D4][F1][47]
281168500 : Rx: [04][00][D0][D0][48][D4][F1][47]
281168750 : Rx fail
281168984 : Rx: [04][00][48][D4][A8][D7][F2][47]
281169234 : Rx: [84][00][48][D4][A8][D7][F2][47]
281169484 : Rx: [F9][51][58][09][A8][D7][F2][47]
281169734 : Rx fail
281169968 : Rx fail
281170218 : Rx: [07][FF][09][33][B5][DA][F3][47]
281170468 : Rx: [07][FF][09][33][C7][DD][F4][4A]
281170718 : Rx: [07][FF][09][33][C7][DD][F4][4A]
281170968 : Rx: [07][FF][09][33][C7][DD][F4][4A]
281171203 : Rx: [84][00][C7][DD][03][E1][F5][4C]
281171453 : Rx: [84][00][C7][DD][03][E1][F5][4C]
281171703 : Rx: [84][00][C7][DD][03][E1][F5][4C]
281171953 : Rx fail
281172187 : Rx: [04][00][03][E1][72][E4][F6][4B]
281172437 : Rx: [04][00][03][E1][72][E4][F6][4B]
281172687 : Rx: [79][47][FF][0F][72][E4][F6][4B]
281172937 : Rx: [04][00][72][E4][DD][E7][F7][49]
281173171 : Rx: [84][00][72][E4][DD][E7][F7][49]
281173421 : Rx fail
281173671 : Rx: [84][00][DD][E7][48][EB][F8][47]
281173921 : Rx: [84][00][DD][E7][48][EB][F8][47]
281174156 : Rx: [04][00][DD][E7][48][EB][F8][47]
281174406 : Rx: [04][00][DD][E7][48][EB][F8][47]
281174656 : Rx: [04][00][48][EB][5C][EE][F9][47]
281174906 : Rx: [04][00][48][EB][5C][EE][F9][47]
281175140 : Rx: [84][00][48][EB][5C][EE][F9][47]
281175390 : Rx: [84][00][5C][EE][44][F1][FA][4A]
281175640 : Rx: [84][00][5C][EE][44][F1][FA][4A]
281175890 : Rx fail
281176140 : Rx: [04][00][44][F1][81][F4][FB][4C]
281176375 : Rx: [04][00][44][F1][81][F4][FB][4C]
281176625 : Rx fail
281176875 : Rx: [04][00][81][F4][D8][F7][FC][4B]
281177125 : Rx: [84][00][81][F4][D8][F7][FC][4B]
281177359 : Rx: [84][00][81][F4][D8][F7][FC][4B]
281177609 : Rx: [84][00][D8][F7][0B][FB][FD][4B]
281177859 : Rx: [84][00][D8][F7][0B][FB][FD][4B]
281178109 : Rx: [04][00][D8][F7][0B][FB][FD][4B]
281178343 : Rx: [04][00][D8][F7][0B][FB][FD][4B]
281178593 : Rx: [04][00][0B][FB][F4][FD][FE][4B]
281178843 : Rx fail
281179093 : Rx: [F9][42][DD][05][F4][FD][FE][4B]
281179328 : Rx: [84][00][F4][FD][09][01][FF][4C]
281179578 : Rx: [84][00][F4][FD][09][01][FF][4C]
281179828 : Rx: [84][00][F4][FD][09][01][FF][4C]
281180078 : Rx: [04][00][09][01][1F][04][00][4D]
281180328 : Rx: [04][00][09][01][1F][04][00][4D]
281180562 : Rx fail
281180812 : Rx: [04][00][1F][04][3B][07][01][4D]
281181062 : Rx fail
281181296 : Rx: [84][00][1F][04][3B][07][01][4D]
281181546 : Rx fail
281181796 : Rx fail
281182046 : Rx fail
281182281 : Rx fail
281182531 : Rx: [04][00][6D][0A][A0][0D][03][4C]
281182781 : Rx: [04][00][6D][0A][A0][0D][03][4C]
281183031 : Rx fail
281183281 : Rx: [84][00][A0][0D][CF][10][04][4C]
