timestamp,hr,fixed
09:11:01.513808,103.0,0
09:11:02.112984,104.0,0
09:11:02.527309,105.0,0
09:11:03.121298,106.0,0
09:11:03.718003,107.0,0
09:11:04.131830,108.0,0
09:11:04.727236,108.0,0
09:11:05.323629,109.0,0
09:11:05.736073,110.0,0
09:11:06.336821,111.0,0
09:11:06.927581,112.0,0
09:11:07.526183,113.0,0
09:11:07.937905,114.0,0
09:11:08.534410,115.0,0
09:11:09.130366,116.0,0
09:11:09.562333,116.0,0
09:11:10.341152,117.0,0
09:11:10.756631,117.0,0
09:11:11.143690,118.0,0
09:11:11.742938,118.0,0
09:11:12.337621,118.0,0
09:11:12.751739,118.0,0
09:11:13.345680,119.0,0
09:11:13.945961,119.0,0
09:11:14.358132,119.0,0
09:11:14.954542,120.0,0
09:11:15.550100,121.0,0
09:11:16.147188,121.0,0
09:11:16.561415,122.0,0
09:11:17.154390,122.0,0
09:11:17.750041,122.0,0
09:11:18.162958,123.0,0
09:11:18.758348,123.0,0
09:11:19.358774,123.0,0
09:11:19.768375,124.0,0
09:11:20.369607,124.0,0
09:11:20.960736,124.0,0
09:11:21.560322,124.0,0
09:11:21.971587,123.0,0
09:11:22.568467,122.0,0
09:11:22.999607,121.0,0
09:11:23.777942,120.0,0
09:11:24.168217,119.0,0
09:11:24.973371,119.0,0
09:11:25.176882,119.0,0
09:11:25.981675,118.0,0
09:11:26.372046,118.0,0
09:11:26.785328,118.0,0
09:11:27.381035,118.0,0
09:11:27.978569,118.0,0
09:11:28.387578,117.0,0
09:11:28.988901,117.0,0
09:11:29.581446,117.0,0
09:11:30.178957,116.0,0
09:11:30.589427,116.0,0
09:11:31.187727,115.0,0
09:11:31.783571,115.0,0
09:11:32.197850,114.0,0
09:11:32.794113,114.0,0
09:11:33.393519,113.0,0
09:11:33.801828,113.0,0
09:11:34.405143,112.0,0
09:11:34.997023,111.0,0
09:11:35.594779,111.0,0
09:11:36.209029,110.0,0
09:11:36.621207,110.0,0
09:11:37.037916,109.0,0
09:11:37.607042,108.0,0
09:11:38.202311,108.0,0
