*** New Session***
03-11-2021 10:04:34
Product Name: hrm-pro
232514484 : Rx: [84][00][2C][D4][46][D9][79][30]
232514734 : Rx: [84][00][46][D9][34][DE][7A][2F]
232514984 : Rx: [84][00][46][D9][34][DE][7A][2F]
232515218 : Rx: [04][00][46][D9][34][DE][7A][2F]
232515468 : Rx: [04][00][46][D9][34][DE][7A][2F]
232515718 : Rx: [04][00][46][D9][34][DE][7A][2F]
232515968 : Rx fail
232516203 : Rx: [84][00][34][DE][74][E3][7B][2F]
232516453 : Rx: [84][00][34][DE][74][E3][7B][2F]
232516703 : Rx: [F9][52][01][FF][74][E3][7B][2F]
232516953 : Rx: [84][00][34][DE][74][E3][7B][2F]
232517187 : Rx: [04][00][74][E3][EF][E7][7C][30]
232517437 : Rx: [04][00][74][E3][EF][E7][7C][30]
232517687 : Rx: [04][00][74][E3][EF][E7][7C][30]
232517937 : Rx: [04][00][74][E3][EF][E7][7C][30]
232518187 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232518421 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232518671 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232518921 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232519171 : Rx: [04][00][EF][E7][11][ED][7D][2F]
232519406 : Rx: [04][00][EF][E7][11][ED][7D][2F]
232519656 : Rx: [04][00][11][ED][09][F2][7E][30]
232519906 : Rx: [79][42][BA][04][09][F2][7E][30]
232520156 : Rx: [84][00][11][ED][09][F2][7E][30]
232520390 : Rx: [84][00][11][ED][09][F2][7E][30]
232520640 : Rx: [84][00][11][ED][09][F2][7E][30]
232520890 : Rx: [84][00][09][F2][B6][F6][7F][30]
232521140 : Rx: [04][00][09][F2][B6][F6][7F][30]
232521375 : Rx: [04][00][09][F2][B6][F6][7F][30]
232521625 : Rx: [04][00][09][F2][B6][F6][7F][30]
232521875 : Rx: [04][00][B6][F6][E4][FB][80][30]
232522125 : Rx: [84][00][B6][F6][E4][FB][80][30]
232522375 : Rx: [84][00][B6][F6][E4][FB][80][30]
232522609 : Rx: [84][00][B6][F6][E4][FB][80][30]
232522859 : Rx: [84][00][B6][F6][E4][FB][80][30]
232523109 : Rx: [07][FF][FC][32][E4][FB][80][30]
232523359 : Rx fail
232523593 : Rx: [07][FF][FC][32][EA][00][81][30]
232523843 : Rx fail
232524093 : Rx: [84][00][E4][FB][EA][00][81][30]
232524343 : Rx: [84][00][E4][FB][EA][00][81][30]
232524578 : Rx: [84][00][EA][00][0D][06][82][2F]
232524828 : Rx: [84][00][EA][00][0D][06][82][2F]
232525078 : Rx: [04][00][EA][00][0D][06][82][2F]
232525328 : Rx: [04][00][EA][00][0D][06][82][2F]
232525562 : Rx: [04][00][EA][00][0D][06][82][2F]
232525812 : Rx: [04][00][0D][06][45][0B][83][2F]
232526062 : Rx: [84][00][0D][06][45][0B][83][2F]
