1635865709.000000, 1635865709.000000, 1635865709.000000
32.000000, 32.000000, 32.000000
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-31,-4,56
-30,-4,56
-31,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,57
-30,-4,56
-30,-5,56
-30,-4,56
-30,-4,56
-30,-5,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-5,56
-30,-4,56
-30,-4,56
-30,-5,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-31,-4,56
-31,-4,56
-30,-4,56
-31,-4,56
-31,-4,56
-30,-4,56
-31,-4,56
-30,-4,56
-29,-4,57
-30,-4,57
-31,-4,56
-31,-4,56
-30,-5,56
-30,-4,56
-30,-4,57
-30,-4,56
-30,-4,56
-30,-4,56
-30,-4,56
-30,-5,56
-30,-4,56
-30,-5,56
-30,-4,57
-30,-4,57
-30,-5,56
-30,-5,57
-31,-5,56
-29,-5,57
-29,-5,57
-32,-5,56
-32,-5,57
-31,-5,57
-33,-5,58
-28,0,59
-33,-4,65
-33,-1,59
-47,2,59
-42,1,71
-39,6,68
-48,8,66
-54,14,64
-53,18,60
-49,23,55
-45,33,45
-45,33,42
