ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
1,1,50.17388577102846,Stilhed,50.96,88.99601593625502,1.7463896376816135
1,1,46.17908601498827,Statisk,94.88,86.46215139442226,0.9112789986764573
1,1,47.38309279256894,Dynamisk,64.12,89.91633466135465,1.4023133914746513
2,5,48.277561939165004,Dynamisk,84.5,108.26829268292681,1.2812815702121516
2,5,49.63511394523961,Statisk,77.0,111.41463414634148,1.4469433006018375
2,5,52.65061402707075,Stilhed,78.5,105.14634146341464,1.3394438402982758
3,8,73.3224624367078,Dynamisk,62.0,119.65853658536582,1.9299763965381584
3,8,73.17406766294903,Stilhed,93.5,126.75609756097562,1.355680187817921
3,8,78.9982226452166,Statisk,111.75,117.9512195121951,1.055491897200851
4,9,73.29485601896955,Dynamisk,53.75,114.31707317073172,2.126829268292683
4,9,76.4885568532618,Statisk,46.5,115.09756097560972,2.475216365066876
4,9,80.51259570471922,Stilhed,59.75,109.43902439024392,1.8316154709664254
5,11,95.01345668409253,Dynamisk,58.5,129.1707317073171,2.208046695851574
5,11,99.56425833328788,Stilhed,33.5,128.31707317073173,3.830360393156171
5,11,99.99074819536207,Statisk,75.5,129.92682926829272,1.7208851558714269
6,12,72.04894607903314,Stilhed,81.5,122.29268292682926,1.5005237168936105
6,12,74.05973655012954,Statisk,50.5,124.68292682926831,2.468968848104323
6,12,78.75984275566121,Dynamisk,33.75,119.17073170731706,3.5309846431797647
7,13,79.49777661556156,Statisk,44.0,109.19512195121953,2.4817073170731714
7,13,74.31416218071386,Stilhed,53.5,105.00000000000001,1.9626168224299068
7,13,76.9247397379158,Dynamisk,39.5,106.56097560975608,2.6977462179685086
8,14,72.3273688695945,Statisk,54.0,123.90243902439026,2.2944896115627826
8,14,74.5817306141434,Dynamisk,42.25,127.609756097561,3.020349256747006
8,14,72.09642916220291,Stilhed,40.75,119.58536585365853,2.9346102049977554
