*** New Session***
10-11-2021 09:04:42
Product Name: HRM-Pro
87609734 : Rx: [04][00][B5][DC][0A][E0][9C][59]
87609968 : Rx fail
87610218 : Rx: [04][00][0A][E0][81][E3][9D][57]
87610468 : Rx: [84][00][0A][E0][81][E3][9D][57]
87610718 : Rx: [84][00][0A][E0][81][E3][9D][57]
87610968 : Rx fail
87611203 : Rx: [84][00][81][E3][09][E7][9E][56]
87611453 : Rx: [04][00][81][E3][09][E7][9E][56]
87611703 : Rx: [04][00][09][E7][73][EA][9F][54]
87611953 : Rx: [04][00][09][E7][73][EA][9F][54]
87612187 : Rx: [04][00][09][E7][73][EA][9F][54]
87612437 : Rx: [84][00][09][E7][73][EA][9F][54]
87612687 : Rx: [84][00][73][EA][BA][ED][A0][53]
87612937 : Rx: [84][00][73][EA][BA][ED][A0][53]
87613171 : Rx fail
87613421 : Rx: [04][00][BA][ED][D4][F0][A1][4F]
87613671 : Rx: [04][00][BA][ED][D4][F0][A1][4F]
87613921 : Rx: [04][00][BA][ED][D4][F0][A1][4F]
87614171 : Rx: [79][47][FF][0F][D4][F0][A1][4F]
87614406 : Rx: [84][00][D4][F0][F9][F3][A2][4E]
87614656 : Rx: [84][00][D4][F0][F9][F3][A2][4E]
87614906 : Rx: [84][00][D4][F0][F9][F3][A2][4E]
87615156 : Rx: [84][00][F9][F3][25][F7][A3][4D]
87615390 : Rx: [04][00][F9][F3][25][F7][A3][4D]
87615640 : Rx: [04][00][F9][F3][25][F7][A3][4D]
87615890 : Rx: [04][00][25][F7][36][FA][A4][4D]
87616140 : Rx: [04][00][25][F7][36][FA][A4][4D]
87616375 : Rx: [84][00][25][F7][36][FA][A4][4D]
87616625 : Rx: [84][00][36][FA][53][FD][A5][4D]
87616875 : Rx: [84][00][36][FA][53][FD][A5][4D]
87617125 : Rx: [84][00][36][FA][53][FD][A5][4D]
87617359 : Rx: [79][52][01][06][75][00][A6][4D]
87617609 : Rx: [04][00][53][FD][75][00][A6][4D]
87617859 : Rx: [04][00][53][FD][75][00][A6][4D]
87618109 : Rx: [04][00][75][00][BD][03][A7][4D]
87618343 : Rx: [84][00][75][00][BD][03][A7][4D]
87618593 : Rx: [84][00][75][00][BD][03][A7][4D]
87618843 : Rx: [84][00][75][00][BD][03][A7][4D]
87619093 : Rx: [84][00][BD][03][F6][06][A8][4C]
87619343 : Rx: [04][00][BD][03][F6][06][A8][4C]
87619578 : Rx: [04][00][BD][03][F6][06][A8][4C]
87619828 : Rx: [04][00][F6][06][87][0A][A9][4A]
87620078 : Rx: [04][00][F6][06][87][0A][A9][4A]
87620328 : Rx: [84][00][F6][06][87][0A][A9][4A]
87620562 : Rx: [F9][42][C3][02][87][0A][A9][4A]
87620812 : Rx: [84][00][87][0A][3C][0E][AA][47]
87621062 : Rx: [84][00][87][0A][3C][0E][AA][47]
87621312 : Rx: [04][00][87][0A][3C][0E][AA][47]
87621546 : Rx: [04][00][3C][0E][DE][11][AB][45]
87621796 : Rx: [04][00][3C][0E][DE][11][AB][45]
87622046 : Rx: [04][00][3C][0E][DE][11][AB][45]
87622296 : Rx: [82][01][CE][C8][DE][11][AB][45]
87622531 : Rx: [82][01][CE][C8][40][15][AC][43]
87622781 : Rx: [82][01][CE][C8][40][15][AC][43]
87623031 : Rx: [82][01][CE][C8][40][15][AC][43]
87623281 : Rx: [04][00][DE][11][40][15][AC][43]
87623515 : Rx: [04][00][40][15][D2][18][AD][43]
87623765 : Rx: [79][42][0A][05][D2][18][AD][43]
87624015 : Rx: [04][00][40][15][D2][18][AD][43]
87624265 : Rx: [84][00][D2][18][56][1C][AE][44]
87624500 : Rx: [84][00][D2][18][56][1C][AE][44]
87624750 : Rx: [84][00][D2][18][56][1C][AE][44]
87625000 : Rx: [84][00][D2][18][56][1C][AE][44]
87625250 : Rx: [04][00][56][1C][84][1F][AF][44]
87625500 : Rx: [04][00][56][1C][84][1F][AF][44]
87625734 : Rx: [04][00][56][1C][84][1F][AF][44]
87625984 : Rx: [04][00][84][1F][E3][22][B0][46]
87626234 : Rx: [84][00][84][1F][E3][22][B0][46]
87626484 : Rx: [84][00][84][1F][E3][22][B0][46]
87626718 : Rx fail
87626968 : Rx: [84][00][E3][22][50][26][B1][46]
87627218 : Rx: [04][00][E3][22][50][26][B1][46]
87627468 : Rx fail
87627703 : Rx: [04][00][50][26][BE][29][B2][46]
87627953 : Rx: [04][00][50][26][BE][29][B2][46]
87628203 : Rx: [84][00][50][26][BE][29][B2][46]
87628453 : Rx: [84][00][BE][29][F3][2C][B3][46]
87628687 : Rx: [84][00][BE][29][F3][2C][B3][46]
87628937 : Rx: [84][00][BE][29][F3][2C][B3][46]
87629187 : Rx: [04][00][BE][29][F3][2C][B3][46]
87629437 : Rx: [04][00][F3][2C][6E][30][B4][46]
87629671 : Rx: [04][00][F3][2C][6E][30][B4][46]
87629921 : Rx: [04][00][F3][2C][6E][30][B4][46]
87630171 : Rx: [F9][42][4B][02][E6][33][B5][46]
87630421 : Rx: [84][00][6E][30][E6][33][B5][46]
87630671 : Rx: [84][00][6E][30][E6][33][B5][46]
87630906 : Rx: [84][00][6E][30][E6][33][B5][46]
87631156 : Rx: [04][00][E6][33][49][37][B6][45]
87631406 : Rx: [04][00][E6][33][49][37][B6][45]
87631656 : Rx: [04][00][E6][33][49][37][B6][45]
87631890 : Rx: [04][00][49][37][7E][3A][B7][46]
87632140 : Rx: [84][00][49][37][7E][3A][B7][46]
87632390 : Rx: [84][00][49][37][7E][3A][B7][46]
87632640 : Rx: [84][00][7E][3A][D6][3D][B8][47]
87632875 : Rx: [84][00][7E][3A][D6][3D][B8][47]
87633125 : Rx: [04][00][7E][3A][D6][3D][B8][47]
