*** New Session***
08-11-2021 16:14:20
Product Name: Foreruner
285373109 : Rx: [80][FF][FF][FF][2E][AC][9A][64]
285373359 : Rx: [80][FF][FF][FF][2E][AC][9A][64]
285373593 : Rx: [80][FF][FF][FF][94][AE][9B][64]
285373843 : Rx: [80][FF][FF][FF][94][AE][9B][64]
285374093 : Rx: [00][FF][FF][FF][FA][B0][9C][64]
285374343 : Rx fail
285374593 : Rx: [00][FF][FF][FF][FA][B0][9C][65]
285374828 : Rx: [00][FF][FF][FF][5A][B3][9D][65]
285375078 : Rx: [82][01][94][C8][5A][B3][9D][65]
285375328 : Rx: [82][01][94][C8][BA][B5][9E][65]
285375578 : Rx fail
285375812 : Rx: [82][01][94][C8][0E][B8][9F][67]
285376062 : Rx fail
285376312 : Rx fail
285376562 : Rx fail
285376796 : Rx: [00][FF][FF][FF][62][BA][A0][67]
285377046 : Rx: [80][FF][FF][FF][B6][BC][A1][67]
285377296 : Rx: [80][FF][FF][FF][B6][BC][A1][67]
285377546 : Rx: [80][FF][FF][FF][B6][BC][A1][68]
285377781 : Rx: [80][FF][FF][FF][04][BF][A2][68]
285378031 : Rx: [00][FF][FF][FF][04][BF][A2][68]
285378281 : Rx: [00][FF][FF][FF][52][C1][A3][68]
285378531 : Rx: [00][FF][FF][FF][52][C1][A3][68]
285378765 : Rx: [00][FF][FF][FF][A0][C3][A4][68]
285379015 : Rx fail
285379265 : Rx: [80][FF][FF][FF][A0][C3][A4][68]
285379515 : Rx: [80][FF][FF][FF][E9][C5][A5][69]
285379765 : Rx: [80][FF][FF][FF][E9][C5][A5][69]
285380000 : Rx: [00][FF][FF][FF][32][C8][A6][69]
285380250 : Rx: [00][FF][FF][FF][32][C8][A6][69]
285380500 : Rx: [00][FF][FF][FF][7B][CA][A7][69]
285380750 : Rx: [00][FF][FF][FF][7B][CA][A7][69]
285380984 : Rx: [80][FF][FF][FF][C4][CC][A8][69]
285381234 : Rx: [80][FF][FF][FF][C4][CC][A8][69]
285381484 : Rx: [80][FF][FF][FF][C4][CC][A8][6A]
285381734 : Rx: [80][FF][FF][FF][07][CF][A9][6A]
285381968 : Rx: [00][FF][FF][FF][07][CF][A9][6A]
285382218 : Rx: [00][FF][FF][FF][4A][D1][AA][6A]
285382468 : Rx: [00][FF][FF][FF][4A][D1][AA][6A]
285382718 : Rx: [00][FF][FF][FF][8D][D3][AB][6A]
285382953 : Rx: [80][FF][FF][FF][8D][D3][AB][6A]
285383203 : Rx: [80][FF][FF][FF][8D][D3][AB][6A]
285383453 : Rx: [80][FF][FF][FF][D0][D5][AC][6A]
285383703 : Rx: [80][FF][FF][FF][D0][D5][AC][6A]
285383937 : Rx: [00][FF][FF][FF][13][D8][AD][6A]
285384187 : Rx: [00][FF][FF][FF][13][D8][AD][6A]
285384437 : Rx: [00][FF][FF][FF][56][DA][AE][6A]
285384687 : Rx: [00][FF][FF][FF][56][DA][AE][6A]
285384921 : Rx: [80][FF][FF][FF][56][DA][AE][6A]
285385171 : Rx: [80][FF][FF][FF][99][DC][AF][6A]
285385421 : Rx: [80][FF][FF][FF][99][DC][AF][6A]
285385671 : Rx fail
285385921 : Rx: [00][FF][FF][FF][E2][DE][B0][69]
285386156 : Rx: [00][FF][FF][FF][2B][E1][B1][69]
285386406 : Rx fail
285386656 : Rx fail
285386906 : Rx: [80][FF][FF][FF][74][E3][B2][69]
285387140 : Rx: [80][FF][FF][FF][74][E3][B2][69]
285387390 : Rx: [80][FF][FF][FF][BD][E5][B3][69]
285387640 : Rx fail
285387890 : Rx: [00][FF][FF][FF][06][E8][B4][69]
285388125 : Rx: [00][FF][FF][FF][06][E8][B4][69]
285388375 : Rx: [00][FF][FF][FF][4F][EA][B5][69]
285388625 : Rx fail
285388875 : Rx fail
285389109 : Rx: [80][FF][FF][FF][9D][EC][B6][68]
285389359 : Rx: [80][FF][FF][FF][9D][EC][B6][68]
285389609 : Rx fail
285389859 : Rx: [00][FF][FF][FF][F1][EE][B7][67]
285390093 : Rx: [00][FF][FF][FF][F1][EE][B7][67]
285390343 : Rx: [00][FF][FF][FF][45][F1][B8][67]
285390593 : Rx: [00][FF][FF][FF][45][F1][B8][66]
