*** New Session***
03-11-2021 11:05:47
Product Name: hrm-Pro
236187828 : Rx: [84][00][4A][06][FC][08][2D][5A]
236188078 : Rx: [84][00][FC][08][AE][0B][2E][5A]
236188328 : Rx: [04][00][FC][08][AE][0B][2E][5A]
236188578 : Rx: [79][42][55][0A][AE][0B][2E][5A]
236188812 : Rx: [04][00][AE][0B][56][0E][2F][59]
236189062 : Rx: [04][00][AE][0B][56][0E][2F][59]
236189312 : Rx: [84][00][AE][0B][56][0E][2F][59]
236189562 : Rx: [84][00][56][0E][AD][10][30][59]
236189812 : Rx: [84][00][56][0E][AD][10][30][59]
236190046 : Rx: [84][00][AD][10][61][13][31][59]
236190296 : Rx: [04][00][AD][10][61][13][31][59]
236190546 : Rx: [04][00][61][13][01][16][32][59]
236190796 : Rx: [04][00][61][13][01][16][32][59]
236191031 : Rx: [04][00][61][13][01][16][32][59]
236191281 : Rx: [84][00][01][16][9C][18][33][5A]
236191531 : Rx fail
236191781 : Rx: [84][00][01][16][9C][18][33][5A]
236192015 : Rx: [84][00][9C][18][40][1B][34][5B]
236192265 : Rx: [04][00][9C][18][40][1B][34][5B]
236192515 : Rx: [04][00][9C][18][40][1B][34][5B]
236192765 : Rx: [04][00][40][1B][12][1E][35][5B]
236193000 : Rx: [04][00][40][1B][12][1E][35][5B]
236193250 : Rx: [89][FC][FF][FF][12][1E][35][5B]
236193500 : Rx: [89][FC][FF][FF][D4][20][36][59]
236193750 : Rx: [89][FC][FF][FF][D4][20][36][59]
236193984 : Rx: [89][FC][FF][FF][AA][23][37][57]
236194234 : Rx: [04][00][D4][20][AA][23][37][57]
236194484 : Rx: [04][00][D4][20][AA][23][37][57]
236194734 : Rx: [04][00][AA][23][71][26][38][57]
236194968 : Rx fail
236195218 : Rx: [84][00][AA][23][71][26][38][57]
236195468 : Rx fail
236195718 : Rx: [84][00][71][26][39][29][39][57]
236195968 : Rx: [84][00][71][26][39][29][39][57]
236196203 : Rx: [04][00][39][29][0A][2C][3A][56]
236196453 : Rx: [04][00][39][29][0A][2C][3A][56]
236196703 : Rx: [04][00][39][29][0A][2C][3A][56]
236196953 : Rx: [04][00][0A][2C][D0][2E][3B][56]
236197187 : Rx: [84][00][0A][2C][D0][2E][3B][56]
236197437 : Rx: [84][00][0A][2C][D0][2E][3B][56]
236197687 : Rx fail
236197937 : Rx: [84][00][D0][2E][7C][31][3C][56]
236198171 : Rx: [04][00][7C][31][1F][34][3D][58]
236198421 : Rx: [04][00][7C][31][1F][34][3D][58]
236198671 : Rx: [04][00][7C][31][1F][34][3D][58]
236198921 : Rx fail
236199156 : Rx: [84][00][1F][34][BB][36][3E][5A]
236199406 : Rx: [84][00][BB][36][54][39][3F][5B]
236199656 : Rx: [84][00][BB][36][54][39][3F][5B]
236199906 : Rx: [84][00][BB][36][54][39][3F][5B]
236200140 : Rx: [04][00][54][39][E9][3B][40][5C]
236200390 : Rx: [04][00][54][39][E9][3B][40][5C]
236200640 : Rx: [04][00][54][39][E9][3B][40][5C]
236200890 : Rx: [04][00][E9][3B][7E][3E][41][5C]
236201140 : Rx: [84][00][E9][3B][7E][3E][41][5C]
236201375 : Rx: [84][00][7E][3E][19][41][42][5D]
236201625 : Rx: [84][00][7E][3E][19][41][42][5D]
236201875 : Rx: [84][00][7E][3E][19][41][42][5D]
236202125 : Rx: [04][00][19][41][A6][43][43][5D]
236202359 : Rx: [04][00][19][41][A6][43][43][5D]
236202609 : Rx: [04][00][A6][43][38][46][44][5D]
236202859 : Rx: [04][00][A6][43][38][46][44][5D]
236203109 : Rx: [84][00][A6][43][38][46][44][5D]
236203343 : Rx fail
236203593 : Rx: [84][00][38][46][C5][48][45][5E]
236203843 : Rx: [84][00][38][46][C5][48][45][5E]
236204093 : Rx: [04][00][C5][48][58][4B][46][5D]
236204328 : Rx: [04][00][C5][48][58][4B][46][5D]
236204578 : Rx: [79][52][01][03][E6][4D][47][5E]
236204828 : Rx: [04][00][58][4B][E6][4D][47][5E]
236205078 : Rx: [84][00][58][4B][E6][4D][47][5E]
236205312 : Rx: [84][00][E6][4D][82][50][48][5D]
236205562 : Rx: [84][00][E6][4D][82][50][48][5D]
236205812 : Rx: [84][00][E6][4D][82][50][48][5D]
236206062 : Rx: [04][00][82][50][1E][53][49][5D]
236206312 : Rx: [04][00][82][50][1E][53][49][5D]
236206546 : Rx: [04][00][1E][53][B1][55][4A][5C]
236206796 : Rx: [04][00][1E][53][B1][55][4A][5C]
236207046 : Rx: [84][00][1E][53][B1][55][4A][5C]
236207296 : Rx: [84][00][B1][55][45][58][4B][5D]
236207531 : Rx: [84][00][B1][55][45][58][4B][5D]
236207781 : Rx: [F9][42][71][05][DD][5A][4C][5D]
236208031 : Rx: [04][00][45][58][DD][5A][4C][5D]
236208281 : Rx fail
236208515 : Rx: [04][00][DD][5A][7F][5D][4D][5D]
236208765 : Rx: [04][00][DD][5A][7F][5D][4D][5D]
236209015 : Rx fail
236209265 : Rx: [84][00][7F][5D][1B][60][4E][5C]
236209500 : Rx: [84][00][7F][5D][1B][60][4E][5C]
236209750 : Rx fail
236210000 : Rx: [01][6E][E2][87][B2][62][4F][5C]
236210250 : Rx: [01][6E][E2][87][B2][62][4F][5C]
236210484 : Rx: [01][6E][E2][87][3E][65][50][5C]
236210734 : Rx: [01][6E][E2][87][3E][65][50][5C]
236210984 : Rx: [84][00][B2][62][3E][65][50][5C]
236211234 : Rx: [84][00][3E][65][E6][67][51][5D]
236211468 : Rx: [84][00][3E][65][E6][67][51][5D]
236211718 : Rx: [84][00][E6][67][90][6A][52][5B]
236211968 : Rx: [04][00][E6][67][90][6A][52][5B]
236212218 : Rx: [04][00][E6][67][90][6A][52][5B]
236212468 : Rx: [04][00][90][6A][54][6D][53][5B]
236212703 : Rx: [04][00][90][6A][54][6D][53][5B]
236212953 : Rx: [84][00][90][6A][54][6D][53][5B]
236213203 : Rx: [84][00][54][6D][75][70][54][5B]
236213453 : Rx: [84][00][54][6D][75][70][54][5B]
236213687 : Rx: [84][00][54][6D][75][70][54][5B]
236213937 : Rx fail
236214187 : Rx: [79][42][DD][05][3B][73][55][5B]
236214437 : Rx: [04][00][75][70][3B][73][55][5B]
236214671 : Rx: [04][00][3B][73][98][76][56][5B]
236214921 : Rx: [84][00][3B][73][98][76][56][5B]
236215171 : Rx: [84][00][3B][73][98][76][56][5B]
236215421 : Rx: [84][00][3B][73][98][76][56][5B]
236215656 : Rx: [84][00][98][76][83][79][57][5B]
236215906 : Rx fail
236216156 : Rx: [04][00][98][76][83][79][57][5B]
236216406 : Rx: [04][00][83][79][6E][7C][58][5B]
236216656 : Rx: [04][00][83][79][6E][7C][58][5B]
236216890 : Rx: [84][00][6E][7C][61][80][59][5B]
236217140 : Rx: [84][00][6E][7C][61][80][59][5B]
236217390 : Rx: [84][00][6E][7C][61][80][59][5B]
236217640 : Rx: [84][00][6E][7C][61][80][59][5B]
236217875 : Rx fail
236218125 : Rx: [04][00][61][80][0B][83][5A][5B]
236218375 : Rx: [04][00][61][80][0B][83][5A][5B]
236218625 : Rx fail
236218859 : Rx: [84][00][0B][83][99][85][5B][5B]
236219109 : Rx: [84][00][0B][83][99][85][5B][5B]
236219359 : Rx: [84][00][99][85][32][88][5C][5B]
236219609 : Rx: [84][00][99][85][32][88][5C][5B]
236219843 : Rx: [04][00][32][88][C2][8A][5D][5B]
236220093 : Rx fail
236220343 : Rx: [04][00][32][88][C2][8A][5D][5B]
236220593 : Rx: [04][00][C2][8A][51][8D][5E][5D]
236220828 : Rx: [84][00][C2][8A][51][8D][5E][5D]
236221078 : Rx: [84][00][51][8D][F0][8F][5F][5D]
236221328 : Rx: [84][00][51][8D][F0][8F][5F][5D]
236221578 : Rx: [84][00][51][8D][F0][8F][5F][5D]
236221812 : Rx: [04][00][F0][8F][99][92][60][5C]
236222062 : Rx: [04][00][F0][8F][99][92][60][5C]
236222312 : Rx: [04][00][F0][8F][99][92][60][5C]
236222562 : Rx: [04][00][99][92][38][95][61][5C]
236222812 : Rx: [84][00][99][92][38][95][61][5C]
236223046 : Rx: [84][00][38][95][D8][97][62][5C]
236223296 : Rx: [84][00][38][95][D8][97][62][5C]
236223546 : Rx: [84][00][38][95][D8][97][62][5C]
236223796 : Rx: [79][42][62][06][7C][9A][63][5C]
236224031 : Rx: [04][00][D8][97][7C][9A][63][5C]
236224281 : Rx: [04][00][D8][97][7C][9A][63][5C]
236224531 : Rx: [04][00][7C][9A][17][9D][64][5C]
236224781 : Rx: [84][00][7C][9A][17][9D][64][5C]
236225015 : Rx: [84][00][17][9D][B1][9F][65][5C]
236225265 : Rx: [84][00][17][9D][B1][9F][65][5C]
236225515 : Rx: [84][00][17][9D][B1][9F][65][5C]
236225765 : Rx fail
236226000 : Rx: [04][00][B1][9F][44][A2][66][5C]
236226250 : Rx: [04][00][B1][9F][44][A2][66][5C]
236226500 : Rx: [04][00][44][A2][CF][A4][67][5D]
236226750 : Rx fail
236226984 : Rx fail
236227234 : Rx: [82][01][CE][C8][5A][A7][68][5D]
236227484 : Rx: [82][01][CE][C8][5A][A7][68][5D]
236227734 : Rx: [04][00][5A][A7][EA][A9][69][5E]
236227968 : Rx: [04][00][5A][A7][EA][A9][69][5E]
236228218 : Rx: [04][00][EA][A9][7E][AC][6A][5E]
236228468 : Rx: [04][00][EA][A9][7E][AC][6A][5E]
236228718 : Rx: [84][00][EA][A9][7E][AC][6A][5E]
236228968 : Rx: [84][00][7E][AC][18][AF][6B][5D]
236229203 : Rx: [84][00][7E][AC][18][AF][6B][5D]
236229453 : Rx: [84][00][18][AF][B7][B1][6C][5D]
236229703 : Rx: [04][00][18][AF][B7][B1][6C][5D]
236229953 : Rx: [04][00][18][AF][B7][B1][6C][5D]
236230187 : Rx: [04][00][B7][B1][55][B4][6D][5C]
236230437 : Rx: [04][00][B7][B1][55][B4][6D][5C]
236230687 : Rx: [84][00][B7][B1][55][B4][6D][5C]
236230937 : Rx: [84][00][55][B4][08][B7][6E][5C]
236231171 : Rx: [84][00][55][B4][08][B7][6E][5C]
236231421 : Rx: [84][00][55][B4][08][B7][6E][5C]
236231671 : Rx: [04][00][08][B7][CD][B9][6F][5A]
236231921 : Rx: [04][00][08][B7][CD][B9][6F][5A]
236232156 : Rx: [04][00][CD][B9][94][BC][70][59]
236232406 : Rx fail
236232656 : Rx: [84][00][CD][B9][94][BC][70][59]
236232906 : Rx: [84][00][94][BC][76][BF][71][57]
236233156 : Rx: [84][00][94][BC][76][BF][71][57]
236233390 : Rx: [F9][51][6D][02][76][BF][71][57]
236233640 : Rx: [04][00][76][BF][88][C2][72][55]
236233890 : Rx: [04][00][76][BF][88][C2][72][55]
236234140 : Rx: [04][00][76][BF][88][C2][72][55]
236234375 : Rx: [04][00][76][BF][88][C2][72][55]
236234625 : Rx: [84][00][88][C2][C5][C4][73][55]
236234875 : Rx: [84][00][88][C2][C5][C4][73][55]
236235125 : Rx: [84][00][C5][C4][5D][C7][74][55]
236235359 : Rx: [84][00][C5][C4][5D][C7][74][55]
236235609 : Rx: [04][00][5D][C7][F5][C9][75][55]
236235859 : Rx: [04][00][5D][C7][F5][C9][75][55]
236236109 : Rx: [04][00][5D][C7][F5][C9][75][55]
236236343 : Rx: [04][00][F5][C9][89][CC][76][55]
236236593 : Rx: [F9][47][80][04][89][CC][76][55]
236236843 : Rx: [84][00][89][CC][3C][CF][77][57]
236237093 : Rx: [84][00][89][CC][3C][CF][77][57]
236237328 : Rx: [84][00][89][CC][3C][CF][77][57]
236237578 : Rx: [04][00][3C][CF][32][D2][78][59]
236237828 : Rx: [04][00][3C][CF][32][D2][78][59]
236238078 : Rx fail
236238312 : Rx: [04][00][32][D2][53][D5][79][56]
236238562 : Rx: [84][00][32][D2][53][D5][79][56]
236238812 : Rx: [84][00][32][D2][53][D5][79][56]
236239062 : Rx: [84][00][32][D2][53][D5][79][56]
236239312 : Rx: [84][00][53][D5][AD][D8][7A][52]
236239546 : Rx: [04][00][53][D5][AD][D8][7A][52]
236239796 : Rx: [79][52][00][02][AD][D8][7A][52]
236240046 : Rx: [04][00][AD][D8][14][DC][7B][51]
236240281 : Rx fail
236240531 : Rx: [84][00][AD][D8][14][DC][7B][51]
236240781 : Rx: [84][00][AD][D8][14][DC][7B][51]
236241031 : Rx: [84][00][14][DC][46][DF][7C][4D]
236241281 : Rx fail
236241515 : Rx: [04][00][14][DC][46][DF][7C][4D]
236241765 : Rx: [04][00][46][DF][3C][E2][7D][4C]
236242015 : Rx: [04][00][46][DF][3C][E2][7D][4C]
236242265 : Rx: [04][00][46][DF][3C][E2][7D][4C]
236242500 : Rx: [84][00][3C][E2][F5][E4][7E][4F]
236242750 : Rx: [84][00][3C][E2][F5][E4][7E][4F]
236243000 : Rx: [F9][42][49][05][F5][E4][7E][4F]
236243250 : Rx: [84][00][F5][E4][9A][E7][7F][52]
236243484 : Rx: [03][42][47][13][9A][E7][7F][52]
236243734 : Rx fail
236243984 : Rx: [03][42][47][13][3D][EA][80][56]
236244234 : Rx: [03][42][47][13][3D][EA][80][56]
236244468 : Rx: [84][00][3D][EA][E3][EC][81][58]
236244718 : Rx: [84][00][3D][EA][E3][EC][81][58]
236244968 : Rx: [84][00][E3][EC][DD][EF][82][59]
236245218 : Rx: [84][00][E3][EC][DD][EF][82][59]
236245468 : Rx: [04][00][E3][EC][DD][EF][82][59]
236245703 : Rx: [04][00][E3][EC][DD][EF][82][59]
236245953 : Rx: [04][00][DD][EF][19][F3][83][56]
236246203 : Rx: [79][42][4A][0A][19][F3][83][56]
236246453 : Rx: [84][00][DD][EF][19][F3][83][56]
236246687 : Rx: [84][00][19][F3][2A][F6][84][52]
236246937 : Rx: [84][00][19][F3][2A][F6][84][52]
236247187 : Rx: [84][00][19][F3][2A][F6][84][52]
236247437 : Rx: [04][00][2A][F6][1B][F9][85][50]
