*** New Session***
02-11-2021 09:04:21
Product Name: Forerunner
142501328 : Rx: [80][FF][FF][FF][18][B3][54][62]
142501578 : Rx: [00][FF][FF][FF][8A][B5][55][62]
142501828 : Rx: [00][FF][FF][FF][8A][B5][55][62]
142502062 : Rx: [00][FF][FF][FF][FC][B7][56][62]
142502312 : Rx: [00][FF][FF][FF][FC][B7][56][62]
142502562 : Rx: [80][FF][FF][FF][FC][B7][56][62]
142502812 : Rx: [80][FF][FF][FF][6E][BA][57][62]
142503046 : Rx: [80][FF][FF][FF][6E][BA][57][62]
142503296 : Rx: [80][FF][FF][FF][E0][BC][58][62]
142503546 : Rx: [00][FF][FF][FF][E0][BC][58][62]
142503796 : Rx fail
142504031 : Rx: [00][FF][FF][FF][59][BF][59][61]
142504281 : Rx: [00][FF][FF][FF][59][BF][59][61]
142504531 : Rx: [80][FF][FF][FF][D2][C1][5A][61]
142504781 : Rx: [80][FF][FF][FF][D2][C1][5A][61]
142505031 : Rx: [80][FF][FF][FF][D2][C1][5A][61]
142505265 : Rx: [80][FF][FF][FF][4B][C4][5B][61]
142505515 : Rx: [02][01][94][C8][4B][C4][5B][61]
142505765 : Rx fail
142506015 : Rx: [02][01][94][C8][C4][C6][5C][60]
142506250 : Rx: [02][01][94][C8][C4][C6][5C][60]
142506500 : Rx fail
142506750 : Rx fail
142507000 : Rx: [80][FF][FF][FF][44][C9][5D][60]
142507234 : Rx: [80][FF][FF][FF][C4][CB][5E][60]
142507484 : Rx: [00][FF][FF][FF][C4][CB][5E][60]
142507734 : Rx fail
142507984 : Rx: [00][FF][FF][FF][44][CE][5F][60]
142508218 : Rx: [00][FF][FF][FF][44][CE][5F][60]
142508468 : Rx: [80][FF][FF][FF][C4][D0][60][60]
142508718 : Rx: [80][FF][FF][FF][C4][D0][60][60]
142508968 : Rx fail
142509203 : Rx: [80][FF][FF][FF][44][D3][61][60]
142509453 : Rx: [00][FF][FF][FF][44][D3][61][60]
142509703 : Rx: [00][FF][FF][FF][C4][D5][62][60]
142509953 : Rx: [00][FF][FF][FF][C4][D5][62][60]
142510187 : Rx: [00][FF][FF][FF][3D][D8][63][61]
142510437 : Rx: [80][FF][FF][FF][3D][D8][63][61]
142510687 : Rx fail
142510937 : Rx fail
142511187 : Rx: [80][FF][FF][FF][B6][DA][64][61]
142511421 : Rx: [00][FF][FF][FF][2F][DD][65][61]
142511671 : Rx: [00][FF][FF][FF][2F][DD][65][61]
142511921 : Rx: [00][FF][FF][FF][2F][DD][65][61]
142512171 : Rx: [00][FF][FF][FF][AF][DF][66][60]
142512406 : Rx: [80][FF][FF][FF][AF][DF][66][60]
142512656 : Rx: [80][FF][FF][FF][2F][E2][67][60]
142512906 : Rx fail
142513156 : Rx: [80][FF][FF][FF][2F][E2][67][60]
142513390 : Rx: [00][FF][FF][FF][AF][E4][68][60]
142513640 : Rx: [00][FF][FF][FF][AF][E4][68][60]
142513890 : Rx fail
142514140 : Rx: [00][FF][FF][FF][2F][E7][69][60]
142514390 : Rx: [80][FF][FF][FF][2F][E7][69][60]
142514625 : Rx: [80][FF][FF][FF][AF][E9][6A][60]
142514875 : Rx: [80][FF][FF][FF][AF][E9][6A][60]
142515125 : Rx: [80][FF][FF][FF][2F][EC][6B][60]
142515375 : Rx: [00][FF][FF][FF][2F][EC][6B][60]
142515609 : Rx fail
142515859 : Rx: [00][FF][FF][FF][AF][EE][6C][60]
142516109 : Rx: [00][FF][FF][FF][AF][EE][6C][60]
142516359 : Rx: [80][FF][FF][FF][2F][F1][6D][60]
142516593 : Rx: [80][FF][FF][FF][2F][F1][6D][60]
142516843 : Rx: [80][FF][FF][FF][2F][F1][6D][60]
142517093 : Rx: [80][FF][FF][FF][AF][F3][6E][60]
142517343 : Rx: [00][FF][FF][FF][AF][F3][6E][60]
142517578 : Rx: [00][FF][FF][FF][AF][F3][6E][60]
142517828 : Rx: [00][FF][FF][FF][2F][F6][6F][60]
142518078 : Rx: [00][FF][FF][FF][2F][F6][6F][5F]
142518328 : Rx: [80][FF][FF][FF][B5][F8][70][5F]
142518562 : Rx: [80][FF][FF][FF][B5][F8][70][5F]
142518812 : Rx: [80][FF][FF][FF][B5][F8][70][5F]
142519062 : Rx: [80][FF][FF][FF][35][FB][71][60]
142519312 : Rx: [00][FF][FF][FF][35][FB][71][60]
142519546 : Rx: [00][FF][FF][FF][B5][FD][72][60]
142519796 : Rx: [00][FF][FF][FF][B5][FD][72][60]
142520046 : Rx: [00][FF][FF][FF][B5][FD][72][60]
142520296 : Rx: [80][FF][FF][FF][35][00][73][60]
142520546 : Rx: [80][FF][FF][FF][35][00][73][60]
142520781 : Rx: [80][FF][FF][FF][B5][02][74][60]
142521031 : Rx: [80][FF][FF][FF][B5][02][74][60]
142521281 : Rx: [00][FF][FF][FF][B5][02][74][60]
142521531 : Rx: [00][FF][FF][FF][35][05][75][60]
142521765 : Rx: [00][FF][FF][FF][35][05][75][60]
142522015 : Rx: [00][FF][FF][FF][B5][07][76][60]
142522265 : Rx: [83][FF][AE][FF][B5][07][76][60]
142522515 : Rx: [83][FF][AE][FF][B5][07][76][60]
142522750 : Rx: [83][FF][AE][FF][35][0A][77][60]
142523000 : Rx: [83][FF][AE][FF][35][0A][77][60]
142523250 : Rx: [00][FF][FF][FF][B5][0C][78][60]
142523500 : Rx: [00][FF][FF][FF][B5][0C][78][60]
142523734 : Rx: [00][FF][FF][FF][B5][0C][78][60]
142523984 : Rx: [00][FF][FF][FF][35][0F][79][60]
142524234 : Rx fail
142524484 : Rx: [80][FF][FF][FF][B5][11][7A][60]
142524718 : Rx: [80][FF][FF][FF][B5][11][7A][60]
142524968 : Rx: [80][FF][FF][FF][B5][11][7A][60]
142525218 : Rx: [00][FF][FF][FF][35][14][7B][60]
142525468 : Rx: [00][FF][FF][FF][35][14][7B][60]
142525703 : Rx: [00][FF][FF][FF][35][14][7B][60]
142525953 : Rx: [00][FF][FF][FF][B5][16][7C][60]
142526203 : Rx fail
142526453 : Rx fail
142526703 : Rx fail
142526937 : Rx: [80][FF][FF][FF][35][19][7D][60]
142527187 : Rx fail
142527437 : Rx: [00][FF][FF][FF][B5][1B][7E][60]
142527687 : Rx: [00][FF][FF][FF][35][1E][7F][60]
142527921 : Rx: [00][FF][FF][FF][35][1E][7F][60]
142528171 : Rx: [80][FF][FF][FF][35][1E][7F][60]
142528421 : Rx fail
142528671 : Rx fail
142528906 : Rx: [80][FF][FF][FF][35][23][81][60]
142529156 : Rx: [00][FF][FF][FF][35][23][81][60]
142529406 : Rx: [00][FF][FF][FF][35][23][81][60]
142529656 : Rx: [00][FF][FF][FF][B5][25][82][60]
142529890 : Rx fail
142530140 : Rx fail
142530390 : Rx fail
142530640 : Rx fail
142530890 : Rx: [80][FF][FF][FF][B5][2A][84][60]
142531125 : Rx fail
142531375 : Rx: [00][FF][FF][FF][35][2D][85][60]
142531625 : Rx: [00][FF][FF][FF][35][2D][85][60]
142531875 : Rx: [00][FF][FF][FF][35][2D][85][60]
142532109 : Rx: [80][FF][FF][FF][B5][2F][86][60]
142532359 : Rx: [80][FF][FF][FF][B5][2F][86][60]
142532609 : Rx: [80][FF][FF][FF][35][32][87][60]
142532859 : Rx: [80][FF][FF][FF][35][32][87][60]
142533093 : Rx: [00][FF][FF][FF][35][32][87][60]
